Protein A	Protein B	T	S	uncertainty
P29083	P41002	0	0.40135613	0.9610776
Q9Y3C7	O75879	0	0.34685245	0.90618336
Q32M92	Q96S52	1	0.625972	0.9365243
Q7Z3K3	Q13867	0	0.32705876	0.88036525
P62805	P85037	1	0.44100156	0.9860768
Q13952	Q8N4N3	0	0.59498006	0.96391517
Q7Z7K2	P54132	1	0.5231552	0.99785537
P01106	O75251	0	0.34018242	0.89783335
O75251	Q8N680	0	0.25068587	0.75136983
P37837	Q6NXT4	0	0.3799825	0.9423832
Q9UM22	P54253	0	0.22479717	0.6970536
P62805	P25398	1	0.5650401	0.98307914
P49447	Q8TED1	1	0.82517123	0.5770547
Q9NR30	Q9NP80	0	0.2642713	0.7777279
O95563	P10242	0	0.2118831	0.6679546
P78371	O60756	1	0.5433183	0.9924941
Q86UK7	P07741	0	0.46092606	0.9938929
Q8N680	Q9Y221	1	0.51731545	0.9988007
Q8TDL5	P61073	0	0.6964913	0.84556466
Q16594	P56385	1	0.31525064	0.8634707
P51946	Q9Y5N1	0	0.39832067	0.9586453
Q9NZC7	Q9UI26	0	0.5093287	0.9996519
P27449	Q96B77	1	0.5102534	0.9995795
O95793	P54709	0	0.1846974	0.6023371
P61513	Q13838	0	0.66596013	0.8898289
O94761	Q7L5N1	1	0.47931725	0.99828887
P02775	P48061	1	0.6277717	0.93469757
Q9NQE9	O00585	0	0.5984018	0.96126837
Q8WWI5	P55317	0	0.24238841	0.73454505
Q8IVM8	O75915	1	0.8018003	0.6356663
Q8NHZ7	Q9P2Y4	1	0.63479996	0.9273159
O60762	Q9NQX1	0	0.4215369	0.9753741
O15121	Q92905	0	0.35215783	0.9125708
P49711	Q92499	0	0.5193753	0.9984984
Q96FW1	Q9Y6B2	0	0.66124946	0.8959944
P62805	P62888	0	0.51469326	0.99913645
P55769	P62847	1	0.45269987	0.9910507
Q9NUH8	P61073	0	0.64491725	0.91599596
Q8N4P3	P49368	0	0.5204453	0.998328
Q9UQ35	P35372	0	0.25718343	0.76416045
P01591	Q7L5N1	0	0.4699892	0.9963975
Q6P4A7	P26196	0	0.16878918	0.5611976
P35869	P35269	1	0.4439633	0.9874396
Q86YP4	Q96CB8	1	0.64753634	0.9129321
Q01664	Q9H8M2	0	0.61544484	0.94668996
P23368	P31939	1	0.8069308	0.623174
P40429	P17987	0	0.3919807	0.95332736
P41002	Q16718	1	0.29744744	0.8358899
P09669	Q9UHI5	0	0.6875412	0.8593132
P26373	O15015	1	0.5857798	0.9705673
P17040	Q15911	0	0.6575441	0.90071946
Q8N5K1	P78369	1	0.45510796	0.9919389
O60676	Q9BX68	0	0.42095712	0.97500896
P07737	Q5T0Z8	1	0.26000956	0.7696184
Q9Y2Y4	Q9UEG4	0	0.70017624	0.83971786
O60885	P49450	0	0.24972369	0.7494471
P41002	Q99941	0	0.48311934	0.9988601
P0C5Z0	P23396	1	0.22810128	0.70428437
Q8NDV2	Q99497	0	0.4332845	0.9821961
P25090	P03928	1	0.49704415	0.9999651
Q96BW9	P35269	0	0.25261006	0.7551928
Q96C86	O95139	0	0.42025048	0.9745601
Q15532	Q8ND83	0	0.52703834	0.99707574
O95793	Q92499	1	0.39173913	0.9531183
P07858	Q53GQ0	1	0.700095	0.839848
O15446	A2A3N6	0	0.39554024	0.95635265
O95994	P56192	1	0.76691014	0.7150359
Q9UFB7	P26373	1	0.68792385	0.8587385
O75394	Q9BYC9	1	0.53098774	0.996159
P29371	Q15022	0	0.22986947	0.70811796
P78371	P49368	1	0.8098189	0.61604893
Q9NRE2	P62847	0	0.5926005	0.96570057
O15514	P13667	0	0.30053362	0.8408526
P82912	Q13330	0	0.39682898	0.9574229
P10109	P39748	1	0.39455995	0.9555295
Q8TBX8	P63208	1	0.48427525	0.999011
P61604	P78334	1	0.3966343	0.9572621
O95994	P62847	1	0.3716653	0.93412083
Q13304	Q9ULD9	0	0.2659894	0.7809561
P62805	Q5SSJ5	1	0.65262425	0.90682334
O00409	Q8IYL3	0	0.42858917	0.979602
Q13105	Q13118	0	0.66935056	0.88528156
Q96HZ4	O14628	1	0.66633296	0.88933337
O95994	Q9NVP1	1	0.33360514	0.88925093
O14880	Q9Y5L4	1	0.62059873	0.9418238
Q9P2Y4	Q9NX01	1	0.51021725	0.9995824
Q9NPC1	Q9H3S5	1	0.53457373	0.99521863
Q8TDD1	P62266	1	0.87164766	0.4475121
Q99612	Q9NZC7	0	0.26607588	0.78111804
Q9H1A4	Q9BVG9	0	0.23559387	0.7203576
O75251	P62424	0	0.5771742	0.97617656
P61073	Q6P9B9	1	0.33192095	0.8869977
P62633	Q9NR30	1	0.6582562	0.8998199
O15055	P50990	1	0.3539758	0.9147078
Q9NPA1	Q6IQ21	0	0.2682206	0.7851133
Q8WVX9	Q8IY37	0	0.12158201	0.42719927
Q6P9B9	P52435	1	0.5393703	0.9937999
Q9NP55	Q32P28	0	0.45361438	0.99139357
Q5JX71	P60201	1	0.7116623	0.8207963
P10242	P25490	1	0.5545952	0.98807746
Q01664	Q9H4Z2	1	0.68725854	0.859737
Q01664	P49711	1	0.6595103	0.89822584
Q96MF4	O60832	1	0.44371164	0.9873265
Q9UBB9	Q9NRE2	1	0.56239873	0.9844256
Q8IVM8	Q01814	0	0.76887643	0.71082187
P63279	Q7Z2E3	0	0.56195086	0.98464835
Q8IWL3	Q9BYD6	1	0.83785284	0.54342186
Q3B8N2	P51798	1	0.4538739	0.9914896
Q68CP9	Q92665	0	0.31548256	0.8638133
P62633	O60832	1	0.70537364	0.83128667
O60885	P50990	1	0.346969	0.90632606
Q9NWZ8	P78563	0	0.6068465	0.9543353
P30876	Q9H9Y6	1	0.65009785	0.90988255
Q9NUD5	P57071	0	0.6158781	0.94628906
Q99459	P09234	0	0.62951	0.93290865
Q9H1Y0	Q04656	0	0.30675897	0.8506316
Q9UBB9	Q53FD0	1	0.3977073	0.9581448
O00214	Q8WUY1	0	0.4371922	0.98422074
P51172	Q8NBB4	0	0.3243605	0.87660307
Q5TCM9	Q86WC4	0	0.42954174	0.9801426
P62280	P63173	1	0.6748887	0.8776558
P14635	Q13423	0	0.30980292	0.8553003
P54219	Q99519	1	0.65399474	0.9051425
Q495W5	Q8N5U1	0	0.5373645	0.9944156
Q8N0Y2	P23763	0	0.21230133	0.6689179
Q9C0C9	P01106	0	0.55701375	0.9869977
Q9Y5I7	Q49A26	0	0.21845144	0.68292165
Q9BUQ8	Q8TF01	1	0.8999036	0.36030847
Q9NZB2	Q8IYB8	1	0.3019924	0.8431719
Q7L2E3	P82930	1	0.71888894	0.8083505
Q07325	Q9NRC8	0	0.5561702	0.9873796
O95183	Q9UGP8	1	0.68702847	0.86008143
Q96Q45	P57060	0	0.28255677	0.81087375
Q04864	Q9BRG1	1	0.55127555	0.9894833
P63279	Q92830	1	0.5788162	0.975152
Q71U36	P22234	0	0.61905247	0.943306
P34995	P39019	0	0.32493618	0.87741065
Q9UHM6	P23381	0	0.26598844	0.7809543
P61081	P48643	1	0.2645931	0.7783343
Q9NPI1	Q8WVZ9	0	0.55788964	0.98659515
Q9NR30	P09622	0	0.36476225	0.926843
P62805	Q969Q0	0	0.6086659	0.9527669
Q9UKX7	Q96NC0	1	0.449533	0.9898123
P54259	O95251	1	0.6819696	0.8675483
P42166	P41222	0	0.19810748	0.6354436
Q9NS73	Q5T6C5	0	0.6653318	0.8906616
O95182	P62857	1	0.46369952	0.9947291
Q7RTS1	Q96JP5	1	0.58660537	0.96999806
Q96DT0	Q9UGP4	1	0.6407225	0.9207887
Q01664	Q15554	1	0.4413646	0.98624754
Q8IVS8	Q9NZI7	1	0.5257965	0.9973382
Q8TDT2	Q9H2L4	1	0.62038404	0.9420307
P38919	Q9GZT5	0	0.24600318	0.74194247
P62857	Q5BKZ1	0	0.5846734	0.97132164
P21675	Q99523	0	0.09182434	0.3335705
O95786	Q7Z2H8	1	0.21903619	0.6842373
P59998	P19404	0	0.3526221	0.913119
Q6PEY1	O95822	1	0.3182171	0.8678199
Q96S52	Q15428	1	0.1863106	0.60639584
Q9P0M6	Q6DKI1	1	0.7236673	0.7998917
Q86UZ6	Q6ICB0	1	0.45067638	0.9902687
P25440	P49643	0	0.5179779	0.9987072
O75953	Q9H582	1	0.35591766	0.9169611
P80188	B3EWG3	1	0.43365973	0.9823959
P30519	P49411	1	0.5047702	0.999909
O95786	Q7Z7H8	0	0.22881737	0.70583993
Q9NYF3	P51798	0	0.17240301	0.57072085
Q9NR12	Q15554	0	0.7092486	0.8248601
Q9HBX9	Q86UK7	0	0.6417172	0.9196649
P61081	Q6Y288	0	0.6775615	0.8738876
Q9BYX4	Q96RE7	1	0.63736635	0.9245219
Q96T91	Q9UIQ6	1	0.64314705	0.9180357
P35869	Q9H7F0	0	0.31498834	0.8630827
P26373	P56192	1	0.4399425	0.98557246
O95711	Q86UD1	1	0.6754388	0.8768849
Q9H4Z2	P46013	1	0.44521886	0.9879961
P46663	Q9HCP6	1	0.6547163	0.90425146
P37840	Q9Y657	0	0.38583928	0.9478693
Q16236	P17535	1	0.6233038	0.9391847
O95670	Q8N5K1	0	0.44229037	0.9866784
Q9NX58	P62424	0	0.8070505	0.6228799
Q9NVM6	Q9BUQ8	1	0.4393604	0.9852914
P62072	Q8TAX7	1	0.54412997	0.9922102
Q13952	Q92633	0	0.29203826	0.82700765
O95786	O60315	1	0.5956652	0.9633927
Q99856	P23025	1	0.69724226	0.844382
P35414	P51857	1	0.48947313	0.9995568
P17987	P02778	0	0.46243945	0.9943569
Q12906	Q12952	0	0.7346674	0.77972484
Q5T9L3	Q99598	0	0.15293886	0.51819426
P37275	Q92618	1	0.6722113	0.8813731
Q9Y5T4	P25398	1	0.4482323	0.9892804
P42766	Q9NQ50	1	0.6957599	0.84671223
Q9NR77	P17028	0	0.20779517	0.6584654
Q92499	Q9NTW7	1	0.52664536	0.9971601
Q6NUQ1	Q9H116	0	0.26293316	0.77519727
Q6Y2X3	Q86XP3	1	0.20405822	0.6496738
P01106	Q8IYD8	1	0.53285164	0.9956831
Q9H2P0	Q12857	1	0.68567896	0.86209327
Q8N6I1	Q9UIY3	0	0.48829085	0.9994516
P61513	P16152	0	0.2391207	0.72776794
Q9Y316	Q15633	1	0.5223229	0.99800676
P42166	Q9NYU2	0	0.20737883	0.6574914
Q9Y3E0	Q16795	1	0.4863949	0.99925965
Q8TDS5	Q13642	0	0.57214534	0.9791802
P62266	Q9H9B4	0	0.27161157	0.7913549
Q9ULD4	Q92794	1	0.74885285	0.75228906
P62805	P61247	1	0.55574965	0.9875679
Q9Y2T7	Q9BYD6	1	0.4135222	0.97008634
Q12830	Q8IXM6	0	0.2674007	0.78359026
P49450	P62280	0	0.55101895	0.98958826
O00624	Q9Y5Y0	1	0.6410308	0.92044127
Q02930	O60503	0	0.34108394	0.89898276
Q96KR1	O43615	0	0.17400387	0.5749061
Q9NR77	P51659	1	0.4276936	0.9790871
P25490	Q9H2P0	1	0.767405	0.71397835
P17987	Q9P0J7	0	0.30949807	0.85483605
Q99731	P32248	1	0.651307	0.9084248
Q96EG3	O75586	0	0.5178602	0.99872404
Q9UHK6	Q9UL12	1	0.65271205	0.9067161
Q12906	Q9BYC8	1	0.3077299	0.85212886
P62280	P62888	1	0.56342906	0.98390704
P10244	P07992	0	0.58671	0.9699255
Q9BQ83	Q86TJ2	0	0.69174916	0.85292906
P53567	P01106	0	0.41579098	0.97163534
Q6ICB0	P59536	1	0.45490825	0.99186695
P63279	O95251	0	0.3110002	0.8571163
P61081	P40227	1	0.21217453	0.668626
Q08211	Q9BXP5	1	0.8102535	0.61497104
Q96GQ7	Q9BVG9	0	0.14780155	0.503825
Q5JTC6	P39210	0	0.20531546	0.65264404
Q9Y5P2	Q96P70	1	0.4887659	0.9994952
Q9H2F5	Q9NV70	1	0.45056963	0.99022657
Q9NQX0	Q8WWB5	1	0.60018766	0.9598497
P41002	P49368	1	0.41919556	0.9738826
P46782	Q9UHI6	0	0.5918909	0.96622425
O75569	Q8IWL3	0	0.34327486	0.90174896
Q8IW40	P13716	1	0.5583613	0.9863758
P25090	P61604	0	0.29052305	0.8244776
O43167	P62266	0	0.7079721	0.8269904
Q99814	Q15369	1	0.60509676	0.9558187
P62280	Q9H609	0	0.43038374	0.9806143
O94762	Q86WC4	0	0.294553	0.8311661
Q6PK04	Q5SSJ5	1	0.7392363	0.771064
Q9NQ50	Q9UKX7	0	0.31845218	0.86816156
Q9BUQ8	Q56P03	1	0.7967177	0.6478344
O60885	Q7Z7K2	0	0.51509196	0.99908894
Q9Y2T7	Q9NR30	1	0.61025894	0.95137185
P49711	P46782	1	0.6245281	0.937971
Q96T91	Q14202	1	0.3303193	0.8848338
Q99788	Q8N6M3	1	0.68103236	0.8689091
P41002	Q99714	1	0.36508316	0.92718977
P48735	Q9BU76	0	0.24539	0.740695
Q9Y3I1	Q12857	1	0.45033956	0.9901354
O95786	P78371	1	0.32812512	0.8818361
Q8IWL3	P38117	1	0.5075304	0.99977314
Q9UKX7	P08151	0	0.36068445	0.9223647
Q92993	P19404	1	0.22174062	0.6902869
Q6TDP4	P54253	1	0.49258515	0.99978
P15144	Q9Y6H6	0	0.66741985	0.88788235
O95125	P41227	1	0.28417557	0.8136793
Q8N3F8	Q7Z3K3	0	0.4418327	0.9864663
Q9H582	P10073	0	0.6637706	0.89271677
P40429	Q15369	0	0.35942838	0.92095846
Q7Z7K2	Q7Z2T5	1	0.6182762	0.944043
O43583	Q7L5N1	1	0.5084551	0.999714
Q9BZS1	Q04864	1	0.65943253	0.8983251
Q9P0M9	Q9NQ50	1	0.8455333	0.5224269
P54253	P40227	1	0.17393094	0.57471585
Q8N680	Q8WXX5	1	0.43861604	0.984928
Q9Y6H6	Q16739	1	0.6005237	0.95957994
P52739	O14545	1	0.59937286	0.9605001
Q16740	Q92506	1	0.65539247	0.9034127
Q86WI0	Q04941	1	0.5820743	0.97305524
P29274	P18621	0	0.27059036	0.78948486
Q9P0R6	Q5T749	1	0.43545705	0.9833368
Q96QT6	Q9Y385	0	0.25413686	0.7582053
Q9BV94	O96000	0	0.5488055	0.9904721
O60220	Q8N4S7	1	0.5487229	0.9905043
Q6NUQ1	Q5TEC3	1	0.41364148	0.9701689
Q99081	Q8N5K1	0	0.21277289	0.67000234
Q14197	Q8N6M3	0	0.5066744	0.9998218
Q9Y4H4	Q15022	0	0.3940612	0.95510787
Q9H3N1	Q8NCK7	0	0.76683855	0.71518874
P56597	O60281	0	0.52314556	0.99785715
Q8N1G0	Q7KZN9	0	0.21730566	0.68033564
O60832	P19544	0	0.36877108	0.93111587
Q9BUE6	Q9NPA3	1	0.30246443	0.8439188
P04920	Q9Y6M7	0	0.8338349	0.5542171
Q96BK5	Q16795	0	0.30454886	0.8471954
Q14686	O95786	0	0.55515724	0.9878307
Q02446	Q8TF50	0	0.5866368	0.96997625
P23025	Q8N1F7	0	0.45327955	0.9912688
Q92905	Q9NWT8	0	0.37738308	0.93986034
Q96QU8	O75376	0	0.3211761	0.8720881
P49768	Q9UHI6	1	0.17063007	0.5660618
P61081	P61313	0	0.27411693	0.7959074
Q96EY1	P62263	0	0.5082644	0.9997268
P49407	P78369	0	0.38171875	0.9440382
Q5JXX7	Q15800	0	0.5697824	0.9805217
P62888	P04198	0	0.54116887	0.9932205
Q7RTS1	P23396	1	0.29714167	0.83539397
O75626	Q9Y5L4	1	0.28855178	0.8211586
Q6P158	Q9NVU7	0	0.7080947	0.82678634
Q9C0C9	O43541	1	0.6221527	0.9403149
P62805	Q86Y39	0	0.38993788	0.9515453
Q4LE39	Q9UBB5	1	0.3913891	0.95281464
Q13144	P13667	0	0.3431947	0.90164834
Q96CK0	Q9H1C4	0	0.2546349	0.7591839
P0C7P0	Q16718	1	0.9429035	0.21534589
Q96FI4	P49411	0	0.14544053	0.49715036
Q13304	Q9C0E2	1	0.5090595	0.9996717
Q13206	Q8TDD1	1	0.87575936	0.43521962
Q9UHL9	Q9UBW7	1	0.6355256	0.92653126
Q96G42	Q9HBE1	1	0.6330993	0.9291383
O15514	O95274	0	0.30168065	0.8426777
P61244	Q9UQ35	0	0.6971957	0.8444554
Q9P2R6	Q9NS73	1	0.56232476	0.9844625
P27449	P14416	1	0.60075444	0.95939416
Q7Z4V5	Q99460	0	0.63119245	0.9311542
Q9NY93	P56748	0	0.2310732	0.7107135
P37840	P51659	1	0.34831095	0.9079617
P01106	P52434	1	0.51109755	0.99950737
O95793	Q9Y221	1	0.35626352	0.9173593
P62750	P62888	1	0.49122545	0.99969196
Q96SF2	Q8TCN5	1	0.5154729	0.99904233
Q9UFW8	Q9NUD5	0	0.578847	0.9751326
P01308	P63220	1	0.39191806	0.9532732
O95786	O43653	0	0.31601396	0.8645966
P01106	Q96QT6	1	0.6196318	0.9427529
P85037	P55197	0	0.7698473	0.7087298
Q9NWS8	Q9Y5Y3	0	0.5428763	0.9926465
Q9NR30	Q13206	0	0.8517538	0.5050771
Q92785	Q96DV4	1	0.29726592	0.8355956
Q9H1Y0	Q5FWF5	0	0.38850176	0.95027256
Q9Y5Y3	Q9BVG9	1	0.6797584	0.8707476
Q13838	Q8TCT9	1	0.26208404	0.773584
Q5T5X7	O75506	1	0.5405344	0.9934279
P46782	P35268	1	0.590588	0.9671753
Q96Q45	P47710	0	0.54778093	0.9908679
P54709	P42766	1	0.11978366	0.42174217
P35408	P38919	0	0.26118246	0.7718648
Q13206	P55786	0	0.18553695	0.60445195
Q6P1R3	Q99633	0	0.53948104	0.993765
O14958	Q9NQV6	1	0.45475554	0.99181175
O14842	Q96EC8	1	0.55436605	0.98817736
Q8IXH7	P14854	1	0.47706023	0.9978951
Q9H6L2	Q9UPM9	1	0.64440125	0.91659313
Q96HE7	Q12905	0	0.40478042	0.96373296
Q04837	P56556	1	0.899453	0.36174926
O60885	Q9NWS0	0	0.27804425	0.80294263
O75409	P54253	1	0.5579709	0.9865575
Q68E01	Q01658	0	0.6402578	0.921311
Q9Y3E2	O00746	1	0.9035811	0.34848922
Q9NR30	Q5SSJ5	1	0.814205	0.60510087
O15446	Q15697	1	0.49414644	0.9998629
Q92583	Q9H2L4	0	0.5433164	0.99249476
Q9P2G3	Q96M94	1	0.72390264	0.7994704
Q8N653	Q14697	0	0.4067109	0.9651886
P56556	O95139	1	0.8180644	0.5953402
Q15022	Q9UHB6	1	0.3372341	0.894029
Q9H9D4	Q9UDV6	1	0.74626577	0.7574127
O00214	P31150	1	0.731367	0.7858773
Q92791	O43615	0	0.6891917	0.856826
Q68CQ7	P58417	0	0.69567114	0.8468512
Q9UFB7	Q9UL41	1	0.71595395	0.8134556
Q01658	Q9NWS9	0	0.39750203	0.95797664
P26358	Q03403	0	0.22955881	0.7074462
P36956	Q8N0Y2	0	0.27773246	0.80238855
P48651	O75541	0	0.21664184	0.6788326
O95994	P39019	0	0.33858508	0.8957809
Q9HCG8	Q9Y421	1	0.83141655	0.5606523
O94761	Q16540	1	0.39488617	0.95580435
Q9NWN3	Q13485	1	0.4767536	0.99783844
Q66K89	Q96GQ7	1	0.7088684	0.825496
P55085	P17987	0	0.24290572	0.7356101
Q5T4S7	Q9NRM0	0	0.3339688	0.88973457
P49447	Q9NWH2	1	0.7517776	0.7464322
Q8NCK7	P62495	0	0.2850816	0.81524026
P37840	Q96DG6	1	0.4045531	0.96355957
Q16842	P24864	0	0.26598507	0.78094804
O14867	Q15800	0	0.3437451	0.9023376
O75947	Q9Y6H6	0	0.22633256	0.70042455
Q9NSC2	Q13330	1	0.65998983	0.897613
Q9H9D4	Q96JM3	1	0.63129705	0.93104434
Q12906	Q96KR1	1	0.79613554	0.649215
O60925	Q71U36	1	0.4506156	0.9902447
Q99742	O75953	1	0.5652821	0.982953
Q9UGQ2	Q8TDZ2	0	0.21520573	0.6755689
Q6UW68	Q96IK5	0	0.4791866	0.99826723
P39019	Q86UK7	0	0.3799776	0.9423786
Q9BX68	Q01814	0	0.54652673	0.99134105
Q86U44	Q9Y6Q9	0	0.5328453	0.99568474
Q92841	P54132	0	0.6629023	0.89385134
P38919	Q13485	1	0.30956426	0.85493696
Q99459	P46013	0	0.5936844	0.9648929
Q9UBS4	Q13217	1	0.6748882	0.87765646
Q8TED1	Q6ZSS7	1	0.7961584	0.64916086
P02724	O43156	1	0.22731571	0.7025731
Q9H2K0	Q9NUH8	0	0.61602414	0.9461536
Q8TDZ2	Q9GZQ4	0	0.38562682	0.94767517
Q9NVP1	Q96HH6	0	0.20626505	0.6548791
Q8NDV2	P08908	1	0.6582804	0.8997893
P49281	Q16236	0	0.22450516	0.69641036
Q96B77	Q12905	0	0.15282959	0.5178908
P30086	O43513	0	0.4791312	0.99825794
A0AVI4	Q8TAD4	1	0.6807692	0.86929
P01106	Q9H0R1	0	0.36868852	0.9310292
Q9BXP5	P40394	1	0.19720055	0.63325
Q9NX05	Q9NWS0	1	0.5207518	0.9982774
Q8N490	Q7Z7M9	0	0.3976203	0.95807356
Q9H2U1	P55265	0	0.5878786	0.9691094
Q92794	Q96T23	1	0.7292689	0.78974307
Q8TAE8	Q9Y242	0	0.19075117	0.6174606
P32249	Q96P70	1	0.31151152	0.85788834
P59910	Q99750	1	0.50014	0.99999994
O75061	Q9H1X3	0	0.16666159	0.555542
Q8WTR4	Q9BX95	1	0.8600969	0.48132098
Q9BTX3	P62805	0	0.21803407	0.68198085
Q9NWS0	P48651	0	0.27629903	0.7998315
Q99832	Q9UL40	0	0.3233632	0.8751978
P49411	O60925	0	0.28863817	0.82130474
Q9NY93	Q6P158	1	0.7457172	0.7584922
Q2QGD7	Q96E35	1	0.6311244	0.9312256
Q9BXP5	Q96DR5	1	0.19214097	0.6208913
O95786	Q7Z5J1	1	0.34368658	0.9022645
Q96RL1	Q9C086	1	0.5550379	0.9878833
Q8IY37	Q9UHW9	0	0.12820965	0.44708773
Q8IV16	P51946	0	0.30474848	0.84750736
Q6UVY6	Q6NZ67	0	0.19276918	0.62243694
P07737	P30086	1	0.64306927	0.91812474
Q9UBK5	Q9GZU3	1	0.6996498	0.84055984
P17040	O14709	1	0.68630236	0.8611657
Q9NRG4	Q2QGD7	1	0.6015584	0.9587436
Q05639	Q969Q0	0	0.5587977	0.9861713
A2A3N6	Q9UHK6	1	0.54651225	0.9913464
Q9NPA8	Q14CW9	1	0.38985002	0.95146793
O95409	O15014	0	0.74128544	0.76712537
Q96LL9	Q32P28	1	0.70413667	0.83331287
P26196	Q9H467	0	0.17351797	0.57363796
Q9ULD4	Q9UPP1	1	0.7214298	0.8038753
O15534	Q69YG0	0	0.21938044	0.6850107
P15822	Q5TCM9	0	0.4759394	0.99768436
Q9GZR7	Q9H1C4	0	0.21860127	0.683259
P46013	Q8N5K1	0	0.28438067	0.8140332
Q5VYS8	Q96EB6	0	0.6817049	0.86793333
O15409	Q8WXI9	1	0.70567685	0.83078814
Q14CZ7	Q96EY8	1	0.8156834	0.6013759
Q969Q0	P42766	1	0.79475063	0.6524883
Q01469	P61604	1	0.7137471	0.81724876
P55085	Q96IQ9	0	0.28268906	0.8111038
Q9BY14	P18621	0	0.08506413	0.31131288
P36956	Q15648	1	0.2580184	0.7657797
Q8N680	Q7Z3K3	1	0.68676096	0.8604814
P25490	Q8TAE8	0	0.42469054	0.97731394
O94761	O60884	1	0.44376534	0.98735064
