Protein A	Protein B	T	S	uncertainty
O75112	A7XYQ1	1	0.6114656	0.9503017
P61073	Q9GZM5	1	0.87568694	0.4354373
P35268	P62266	1	0.96508825	0.13477169
Q86VZ1	Q8NEW0	1	0.7646069	0.7199328
Q9Y2G8	O75396	1	0.6369802	0.9249457
O60925	Q9Y3C7	1	0.537951	0.9942389
P29083	Q9Y573	0	0.17970872	0.58965397
Q8TDD1	Q8WUB8	1	0.46131575	0.99401414
Q9BX68	Q9BQ95	1	0.94192576	0.21880648
Q9Y5N1	P43119	0	0.5123761	0.9993873
Q8IWL3	Q7Z4Q2	1	0.661613	0.895525
P49848	P59991	0	0.4337761	0.9824575
Q05639	Q9H3R0	1	0.187975	0.6105616
Q96KC8	Q8IXK0	0	0.20193847	0.6446373
P01106	Q9UGI8	0	0.58248043	0.9727879
Q9NUH8	Q9HD34	0	0.89776456	0.3671334
Q14145	Q8TDV0	1	0.27800322	0.80286974
P61073	Q7Z7E8	0	0.6604915	0.89696985
Q8NBI6	Q9BRP1	1	0.42734608	0.9788856
O43889	Q9BQC6	1	0.5052147	0.9998912
Q16342	P25090	0	0.08529906	0.3120925
P30519	Q6IE81	1	0.20422217	0.6500619
P49711	Q96FF9	0	0.40142965	0.96113557
Q96IF1	Q12906	0	0.6403976	0.921154
Q9UMR3	Q9HCK5	1	0.5847235	0.9712877
P39019	Q9UL40	1	0.47692874	0.9978709
P62851	O15055	0	0.508136	0.99973524
P18509	P36969	0	0.46144304	0.99405336
O60885	O43396	1	0.5044769	0.99991983
Q16775	Q2WGJ6	0	0.2351227	0.71936005
Q7Z4Q2	P23528	0	0.654474	0.9045511
P0C5Z0	P61247	1	0.6946521	0.84844226
Q9Y2R4	Q6ZN55	0	0.4291573	0.9799253
Q6NUN9	O14530	0	0.59023386	0.9674314
P04080	P24385	0	0.46144822	0.9940551
P49711	O14497	1	0.6696871	0.88482517
Q92993	Q9H1C4	0	0.44716758	0.9888349
P23769	Q9Y6Q9	1	0.75639915	0.7370379
P29083	P41002	0	0.15348466	0.51970845
Q9Y3C7	O75879	0	0.38017857	0.9425713
Q32M92	Q96S52	1	0.7607896	0.7279552
Q7Z3K3	Q13867	0	0.53898305	0.9939213
P62805	P85037	1	0.46495807	0.9950883
Q13952	Q8N4N3	0	0.42183265	0.9755594
Q7Z7K2	P54132	1	0.46748975	0.99577236
P01106	O75251	0	0.290932	0.8251623
O75251	Q8N680	0	0.16563925	0.55281156
P37837	Q6NXT4	0	0.24191663	0.7335719
Q9UM22	P54253	0	0.30512598	0.8480965
P62805	P25398	1	0.50796103	0.9997465
P49447	Q8TED1	1	0.6300174	0.9323819
Q9NR30	Q9NP80	0	0.2595964	0.76882446
O95563	P10242	0	0.08291777	0.30416965
P78371	O60756	1	0.06699325	0.25002062
Q86UK7	P07741	0	0.51488876	0.9991133
Q8N680	Q9Y221	1	0.5023705	0.9999775
Q8TDL5	P61073	0	0.6248711	0.93762887
Q16594	P56385	1	0.17412572	0.5752238
P51946	Q9Y5N1	0	0.081846386	0.30059022
Q9NZC7	Q9UI26	0	0.47942728	0.99830705
P27449	Q96B77	1	0.4221787	0.97577536
O95793	P54709	0	0.21750122	0.6807778
P61513	Q13838	0	0.36187464	0.92368555
O94761	Q7L5N1	1	0.45616847	0.9923152
P02775	P48061	1	0.68059474	0.8695422
Q9NQE9	O00585	0	0.28235278	0.8105187
Q8WWI5	P55317	0	0.10386477	0.3723075
Q8IVM8	O75915	1	0.91194886	0.32119256
Q8NHZ7	Q9P2Y4	1	0.61298305	0.9489393
O60762	Q9NQX1	0	0.16982849	0.5639471
O15121	Q92905	0	0.37620634	0.9387005
P49711	Q92499	0	0.57635665	0.97667867
Q96FW1	Q9Y6B2	0	0.59958285	0.96033305
P62805	P62888	0	0.7378984	0.7736174
P55769	P62847	1	0.6555863	0.9031716
Q9NUH8	P61073	0	0.3382041	0.89528835
Q8N4P3	P49368	0	0.584165	0.971665
Q9UQ35	P35372	0	0.019423516	0.07618497
P01591	Q7L5N1	0	0.3082691	0.852957
Q6P4A7	P26196	0	0.34870106	0.9084345
P35869	P35269	1	0.71017957	0.8232982
Q86YP4	Q96CB8	1	0.6422362	0.9190755
Q01664	Q9H8M2	0	0.62678516	0.9357021
P23368	P31939	1	0.8617677	0.4764965
P40429	P17987	0	0.59415454	0.9645397
P41002	Q16718	1	0.6006524	0.95947635
P09669	Q9UHI5	0	0.6359051	0.9261192
P26373	O15015	1	0.35257885	0.913068
P17040	Q15911	0	0.46139765	0.9940394
Q8N5K1	P78369	1	0.45082596	0.9903277
O60676	Q9BX68	0	0.6580009	0.9001429
P07737	Q5T0Z8	1	0.26655737	0.7820182
Q9Y2Y4	Q9UEG4	0	0.5427749	0.9926812
O60885	P49450	0	0.31148937	0.857855
P41002	Q99941	0	0.6541247	0.9049823
P0C5Z0	P23396	1	0.56483245	0.983187
Q8NDV2	Q99497	0	0.85420185	0.49816418
P25090	P03928	1	0.34476402	0.9036072
Q96BW9	P35269	0	0.28515396	0.81536466
Q96C86	O95139	0	0.80571836	0.6261451
Q15532	Q8ND83	0	0.76059586	0.7283592
O95793	Q92499	1	0.48931357	0.99954313
P07858	Q53GQ0	1	0.8015112	0.6363639
O15446	A2A3N6	0	0.5041627	0.9999307
O95994	P56192	1	0.71888864	0.80835104
Q9UFB7	P26373	1	0.834471	0.55251664
O75394	Q9BYC9	1	0.8217428	0.58592635
P29371	Q15022	0	0.32204184	0.87332356
P78371	P49368	1	0.66320217	0.8934602
Q9NRE2	P62847	0	0.7208713	0.80486345
O15514	P13667	0	0.7890925	0.66570216
P82912	Q13330	0	0.11754671	0.41491792
P10109	P39748	1	0.7333068	0.7822717
Q8TBX8	P63208	1	0.3455007	0.90451986
P61604	P78334	1	0.10761986	0.38415128
O95994	P62847	1	0.5785678	0.9753084
Q13304	Q9ULD9	0	0.250195	0.7503898
P62805	Q5SSJ5	1	0.7047714	0.8322747
O00409	Q8IYL3	0	0.5247714	0.99754554
Q13105	Q13118	0	0.37399015	0.936486
Q96HZ4	O14628	1	0.561277	0.9849805
O95994	Q9NVP1	1	0.6115363	0.9502386
O14880	Q9Y5L4	1	0.49459487	0.9998831
Q9P2Y4	Q9NX01	1	0.38390282	0.9460858
Q9NPC1	Q9H3S5	1	0.87058055	0.45068023
Q8TDD1	P62266	1	0.9527918	0.1799183
Q99612	Q9NZC7	0	0.5500641	0.9899743
Q9H1A4	Q9BVG9	0	0.28836322	0.82083946
O75251	P62424	0	0.74782026	0.75434047
P61073	Q6P9B9	1	0.7529096	0.74414694
P62633	Q9NR30	1	0.7803441	0.68562865
O15055	P50990	1	0.42910615	0.9798963
Q9NPA1	Q6IQ21	0	0.13765153	0.47481433
Q8WVX9	Q8IY37	0	0.2973337	0.8357054
Q6P9B9	P52435	1	0.29697353	0.835121
Q9NP55	Q32P28	0	0.59551024	0.96351117
Q5JX71	P60201	1	0.9304534	0.25883943
P10242	P25490	1	0.6492752	0.9108677
Q01664	Q9H4Z2	1	0.68264145	0.8665684
Q01664	P49711	1	0.60939914	0.95212734
Q96MF4	O60832	1	0.82222	0.584697
Q9UBB9	Q9NRE2	1	0.33228096	0.8874813
Q8IVM8	Q01814	0	0.84771466	0.51637805
P63279	Q7Z2E3	0	0.4676217	0.99580663
Q8IWL3	Q9BYD6	1	0.8677404	0.459068
Q3B8N2	P51798	1	0.51043636	0.99956435
Q68CP9	Q92665	0	0.376088	0.9385832
P62633	O60832	1	0.79991764	0.64019763
O60885	P50990	1	0.36744228	0.92971385
Q9NWZ8	P78563	0	0.56262547	0.9843122
P30876	Q9H9Y6	1	0.41692933	0.972397
Q9NUD5	P57071	0	0.6699298	0.88449544
Q99459	P09234	0	0.58439386	0.9715107
Q9H1Y0	Q04656	0	0.44277146	0.9868996
Q9UBB9	Q53FD0	1	0.43454477	0.9828624
O00214	Q8WUY1	0	0.4114028	0.96860206
P51172	Q8NBB4	0	0.21352243	0.6717224
Q5TCM9	Q86WC4	0	0.4980701	0.99998504
P62280	P63173	1	0.64146173	0.9199543
P14635	Q13423	0	0.7707145	0.7068546
P54219	Q99519	1	0.74625826	0.75742745
Q495W5	Q8N5U1	0	0.27547464	0.79835343
Q8N0Y2	P23763	0	0.10123174	0.3639355
Q9C0C9	P01106	0	0.42855304	0.97958136
Q9Y5I7	Q49A26	0	0.29837915	0.8373961
Q9BUQ8	Q8TF01	1	0.77473	0.69809365
Q9NZB2	Q8IYB8	1	0.52997077	0.99640703
Q7L2E3	P82930	1	0.7153921	0.81442493
Q07325	Q9NRC8	0	0.7581574	0.73341906
O95183	Q9UGP8	1	0.47354344	0.99720025
Q96Q45	P57060	0	0.43546382	0.9833404
Q04864	Q9BRG1	1	0.46069726	0.99382114
P63279	Q92830	1	0.4957532	0.99992794
Q71U36	P22234	0	0.79917794	0.6419702
P34995	P39019	0	0.7516817	0.7466253
Q9UHM6	P23381	0	0.75241524	0.7451462
P61081	P48643	1	0.35275677	0.91327775
Q9NPI1	Q8WVZ9	0	0.39831036	0.9586369
Q9NR30	P09622	0	0.5478093	0.99085706
P62805	Q969Q0	0	0.78473395	0.6757063
Q9UKX7	Q96NC0	1	0.6883323	0.8581238
P54259	O95251	1	0.38255507	0.9448267
P42166	P41222	0	0.33595386	0.8923555
Q9NS73	Q5T6C5	0	0.618609	0.9437276
O95182	P62857	1	0.41009203	0.96766627
Q7RTS1	Q96JP5	1	0.6534572	0.9058035
Q96DT0	Q9UGP4	1	0.6479031	0.9124987
Q01664	Q15554	1	0.627483	0.9349923
Q8IVS8	Q9NZI7	1	0.2498333	0.7496665
Q8TDT2	Q9H2L4	1	0.77968806	0.6870984
P38919	Q9GZT5	0	0.17200026	0.56966466
P62857	Q5BKZ1	0	0.7481102	0.75376534
P21675	Q99523	0	0.24795772	0.7458988
O95786	Q7Z2H8	1	0.05094023	0.1933813
P59998	P19404	0	0.28872797	0.8214565
Q6PEY1	O95822	1	0.72864556	0.79088485
Q96S52	Q15428	1	0.30378672	0.8460014
Q9P0M6	Q6DKI1	1	0.6378099	0.92403376
Q86UZ6	Q6ICB0	1	0.17894162	0.58768606
P25440	P49643	0	0.6012989	0.9589541
O75953	Q9H582	1	0.3435615	0.90210795
P80188	B3EWG3	1	0.55485374	0.9879643
P30519	P49411	1	0.76819754	0.71228033
O95786	Q7Z7H8	0	0.3282382	0.8819915
Q9NYF3	P51798	0	0.47704872	0.9978929
Q9NR12	Q15554	0	0.5248218	0.9975355
Q9HBX9	Q86UK7	0	0.45770332	0.9928439
P61081	Q6Y288	0	0.3095079	0.85485107
Q9BYX4	Q96RE7	1	0.53069615	0.99623096
Q96T91	Q9UIQ6	1	0.64528656	0.9155673
P35869	Q9H7F0	0	0.4193679	0.97399384
P26373	P56192	1	0.28254336	0.81085044
O95711	Q86UD1	1	0.7656239	0.7177757
Q9H4Z2	P46013	1	0.4631185	0.994559
P46663	Q9HCP6	1	0.9345943	0.24451128
P37840	Q9Y657	0	0.29686585	0.8349461
Q16236	P17535	1	0.5950663	0.9638496
O95670	Q8N5K1	0	0.5611488	0.9850433
Q9NX58	P62424	0	0.9500896	0.1896775
Q9NVM6	Q9BUQ8	1	0.7893058	0.6652086
P62072	Q8TAX7	1	0.7404573	0.76872116
Q13952	Q92633	0	0.1526811	0.5174783
O95786	O60315	1	0.501037	0.9999957
Q99856	P23025	1	0.62433785	0.9381604
P35414	P51857	1	0.57015955	0.98031056
P17987	P02778	0	0.19505341	0.6280303
Q12906	Q12952	0	0.56245303	0.9843985
Q5T9L3	Q99598	0	0.7763702	0.694478
P37275	Q92618	1	0.72285694	0.80133915
Q9Y5T4	P25398	1	0.40838733	0.9664285
P42766	Q9NQ50	1	0.94363844	0.21273972
Q9NR77	P17028	0	0.15079156	0.5122139
Q92499	Q9NTW7	1	0.4064332	0.96498096
Q6NUQ1	Q9H116	0	0.292727	0.8281516
Q6Y2X3	Q86XP3	1	0.72946894	0.789376
P01106	Q8IYD8	1	0.53909427	0.99388653
Q9H2P0	Q12857	1	0.5377171	0.99430966
Q8N6I1	Q9UIY3	0	0.42754835	0.979003
P61513	P16152	0	0.08800588	0.32104337
Q9Y316	Q15633	1	0.4791888	0.9982676
P42166	Q9NYU2	0	0.5371661	0.9944747
Q9Y3E0	Q16795	1	0.841186	0.5343685
Q8TDS5	Q13642	0	0.49662387	0.9999544
P62266	Q9H9B4	0	0.16262491	0.5447122
Q9ULD4	Q92794	1	0.6052167	0.9557178
P62805	P61247	1	0.80217147	0.6347696
Q9Y2T7	Q9BYD6	1	0.6123813	0.9494818
Q12830	Q8IXM6	0	0.09533688	0.34499103
P49450	P62280	0	0.7937202	0.6549138
O00624	Q9Y5Y0	1	0.68304574	0.86597705
Q02930	O60503	0	0.23590624	0.72101796
Q96KR1	O43615	0	0.23892298	0.7273552
Q9NR77	P51659	1	0.8806801	0.4203307
P25490	Q9H2P0	1	0.74247855	0.76481664
P17987	Q9P0J7	0	0.21821341	0.68238527
Q99731	P32248	1	0.6137427	0.9482504
Q96EG3	O75586	0	0.65426755	0.9048061
Q9UHK6	Q9UL12	1	0.7855518	0.6738407
Q12906	Q9BYC8	1	0.33725202	0.8940524
P62280	P62888	1	0.67335427	0.87979317
P10244	P07992	0	0.7040751	0.8334134
Q9BQ83	Q86TJ2	0	0.50531	0.9998872
P53567	P01106	0	0.36625668	0.9284509
Q6ICB0	P59536	1	0.376856	0.93934226
P63279	O95251	0	0.45917788	0.9933343
P61081	P40227	1	0.3381666	0.8952398
Q08211	Q9BXP5	1	0.6623395	0.8945835
Q96GQ7	Q9BVG9	0	0.11036815	0.3927481
Q5JTC6	P39210	0	0.11909157	0.4196351
Q9Y5P2	Q96P70	1	0.7110061	0.8219057
Q9H2F5	Q9NV70	1	0.21782917	0.6815185
Q9NQX0	Q8WWB5	1	0.56208247	0.9845831
P41002	P49368	1	0.64850634	0.91178346
P46782	Q9UHI6	0	0.46514443	0.99514043
O75569	Q8IWL3	0	0.36609852	0.9282816
Q8IW40	P13716	1	0.5941181	0.9645671
P25090	P61604	0	0.6872075	0.8598134
O43167	P62266	0	0.8965393	0.37102643
Q99814	Q15369	1	0.43593237	0.9835813
P62280	Q9H609	0	0.43292975	0.9820063
O94762	Q86WC4	0	0.23650476	0.72228104
Q6PK04	Q5SSJ5	1	0.7864223	0.671849
Q9NQ50	Q9UKX7	0	0.2009921	0.64237714
Q9BUQ8	Q56P03	1	0.6523529	0.9071543
O60885	Q7Z7K2	0	0.6328016	0.9294549
Q9Y2T7	Q9NR30	1	0.6013741	0.9588932
P49711	P46782	1	0.5023732	0.99997747
Q96T91	Q14202	1	0.44483817	0.9878287
Q99788	Q8N6M3	1	0.81386673	0.6059507
P41002	Q99714	1	0.6891087	0.85695153
P48735	Q9BU76	0	0.19345038	0.6241093
Q9Y3I1	Q12857	1	0.5229897	0.9978859
O95786	P78371	1	0.47790346	0.99804693
Q8IWL3	P38117	1	0.8206742	0.5886723
Q9UKX7	P08151	0	0.110583425	0.39341894
Q92993	P19404	1	0.25559223	0.76105934
Q6TDP4	P54253	1	0.38936794	0.9510422
P15144	Q9Y6H6	0	0.56180024	0.9847229
O95125	P41227	1	0.5807484	0.9739188
Q8N3F8	Q7Z3K3	0	0.51691854	0.99885505
Q9H582	P10073	0	0.62769157	0.93477947
P40429	Q15369	0	0.08490195	0.31077445
Q7Z7K2	Q7Z2T5	1	0.5809107	0.97381383
O43583	Q7L5N1	1	0.41264012	0.96947306
Q9BZS1	Q04864	1	0.55596995	0.98746943
Q9P0M9	Q9NQ50	1	0.96928394	0.11909034
P54253	P40227	1	0.32945904	0.88366306
Q8N680	Q8WXX5	1	0.47665676	0.9978203
Q9Y6H6	Q16739	1	0.5355349	0.9949491
P52739	O14545	1	0.4691997	0.9962054
Q16740	Q92506	1	0.7834467	0.6786318
Q86WI0	Q04941	1	0.8920899	0.38506204
P29274	P18621	0	0.47893894	0.99822575
Q9P0R6	Q5T749	1	0.559854	0.98567003
Q96QT6	Q9Y385	0	0.24312742	0.7360659
Q9BV94	O96000	0	0.7754595	0.6964882
O60220	Q8N4S7	1	0.76602376	0.71692544
Q6NUQ1	Q5TEC3	1	0.34760225	0.9070997
Q99081	Q8N5K1	0	0.12811513	0.44680658
Q14197	Q8N6M3	0	0.24405359	0.7379657
Q9Y4H4	Q15022	0	0.629053	0.9333813
Q9H3N1	Q8NCK7	0	0.8580424	0.4872225
P56597	O60281	0	0.5146336	0.9991434
Q8N1G0	Q7KZN9	0	0.44637835	0.98849887
O60832	P19544	0	0.05676817	0.21418218
Q9BUE6	Q9NPA3	1	0.68791455	0.8587525
P04920	Q9Y6M7	0	0.34852162	0.90821725
Q96BK5	Q16795	0	0.2737516	0.7952466
Q14686	O95786	0	0.23342027	0.715741
Q02446	Q8TF50	0	0.64618844	0.91451573
P23025	Q8N1F7	0	0.2870216	0.8185608
Q92905	Q9NWT8	0	0.5720903	0.9792119
Q96QU8	O75376	0	0.2598089	0.7692329
P49768	Q9UHI6	1	0.3363707	0.89290184
P61081	P61313	0	0.30635172	0.8500014
Q96EY1	P62263	0	0.48675352	0.9992981
P49407	P78369	0	0.5151748	0.9990789
Q5JXX7	Q15800	0	0.5376768	0.9943218
P62888	P04198	0	0.29940966	0.8390541
Q7RTS1	P23396	1	0.5293035	0.9965652
O75626	Q9Y5L4	1	0.15057343	0.5116043
Q6P158	Q9NVU7	0	0.77216893	0.7036963
Q9C0C9	O43541	1	0.506106	0.99985087
P62805	Q86Y39	0	0.64934736	0.91078144
Q4LE39	Q9UBB5	1	0.5957077	0.96336013
Q13144	P13667	0	0.53318125	0.995596
Q96CK0	Q9H1C4	0	0.1976643	0.6343725
P0C7P0	Q16718	1	0.8865042	0.4024581
Q96FI4	P49411	0	0.6497673	0.91027904
Q13304	Q9C0E2	1	0.7484448	0.75310075
Q13206	Q8TDD1	1	0.9205396	0.29258573
Q9UHL9	Q9UBW7	1	0.5843604	0.9715333
Q96G42	Q9HBE1	1	0.46022674	0.9936723
O15514	O95274	0	0.54576015	0.99162406
P61244	Q9UQ35	0	0.5487256	0.99050325
Q9P2R6	Q9NS73	1	0.43061078	0.98074055
P27449	P14416	1	0.059444796	0.22364445
Q7Z4V5	Q99460	0	0.79691803	0.6473587
Q9NY93	P56748	0	0.07308557	0.27097628
P37840	P51659	1	0.706442	0.8295268
P01106	P52434	1	0.51920563	0.99852455
O95793	Q9Y221	1	0.40232557	0.96183884
P62750	P62888	1	0.7345906	0.779869
Q96SF2	Q8TCN5	1	0.2682491	0.7851661
Q9UFW8	Q9NUD5	0	0.41616258	0.9718851
P01308	P63220	1	0.58974063	0.9677865
O95786	O43653	0	0.16565609	0.5528566
P01106	Q96QT6	1	0.6052732	0.95567024
P85037	P55197	0	0.62962085	0.93279374
Q9NWS8	Q9Y5Y3	0	0.06676141	0.2492173
Q9NR30	Q13206	0	0.8626236	0.47401658
Q92785	Q96DV4	1	0.52087265	0.99825734
Q9H1Y0	Q5FWF5	0	0.24700744	0.7439791
Q9Y5Y3	Q9BVG9	1	0.88238424	0.41512918
Q13838	Q8TCT9	1	0.64686394	0.91372395
Q5T5X7	O75506	1	0.40051404	0.96041024
P46782	P35268	1	0.3206361	0.87131435
Q96Q45	P47710	0	0.5759627	0.97691864
P54709	P42766	1	0.20483725	0.6515158
P35408	P38919	0	0.64882654	0.91140264
Q13206	P55786	0	0.20411628	0.6498113
Q6P1R3	Q99633	0	0.46331975	0.9946182
O14958	Q9NQV6	1	0.48636964	0.9992569
O14842	Q96EC8	1	0.8694521	0.45402053
Q8IXH7	P14854	1	0.61295414	0.94896543
Q9H6L2	Q9UPM9	1	0.80558884	0.62646186
Q96HE7	Q12905	0	0.7388122	0.7718749
Q04837	P56556	1	0.895258	0.37508443
O60885	Q9NWS0	0	0.4873796	0.9993629
O75409	P54253	1	0.6091906	0.95230967
Q68E01	Q01658	0	0.5808481	0.97385436
Q9Y3E2	O00746	1	0.9339922	0.24660306
Q9NR30	Q5SSJ5	1	0.69541633	0.8472498
O15446	Q15697	1	0.16811581	0.5594115
Q92583	Q9H2L4	0	0.7243932	0.7985908
Q9P2G3	Q96M94	1	0.60511476	0.9558036
Q8N653	Q14697	0	0.47259465	0.99699587
P56556	O95139	1	0.974444	0.09961167
Q15022	Q9UHB6	1	0.50552046	0.9998781
Q9H9D4	Q9UDV6	1	0.34003028	0.89763874
O00214	P31150	1	0.50579077	0.9998659
Q92791	O43615	0	0.77632564	0.69457656
Q68CQ7	P58417	0	0.73456836	0.77991074
Q9UFB7	Q9UL41	1	0.52692443	0.9971003
Q01658	Q9NWS9	0	0.20990245	0.66337365
P26358	Q03403	0	0.1617124	0.542246
P36956	Q8N0Y2	0	0.40647018	0.9650087
P48651	O75541	0	0.15361394	0.5200668
O95994	P39019	0	0.79338473	0.6557016
Q9HCG8	Q9Y421	1	0.76539373	0.71826464
O94761	Q16540	1	0.69164085	0.8530951
Q9NWN3	Q13485	1	0.41961226	0.9741512
Q66K89	Q96GQ7	1	0.8109095	0.6133411
P55085	P17987	0	0.70082104	0.83868366
Q5T4S7	Q9NRM0	0	0.052958284	0.20061481
P49447	Q9NWH2	1	0.90659714	0.33871508
Q8NCK7	P62495	0	0.76813626	0.71241176
P37840	Q96DG6	1	0.67505866	0.87741786
Q16842	P24864	0	0.31064618	0.8565805
O14867	Q15800	0	0.15043257	0.51121044
O75947	Q9Y6H6	0	0.30593458	0.8493545
Q9NSC2	Q13330	1	0.69119483	0.8537781
Q9H9D4	Q96JM3	1	0.68170154	0.8679382
Q12906	Q96KR1	1	0.5946419	0.96417165
O60925	Q71U36	1	0.6785829	0.8724326
Q99742	O75953	1	0.2967545	0.83476514
Q9UGQ2	Q8TDZ2	0	0.35171384	0.9120449
Q6UW68	Q96IK5	0	0.25667304	0.763168
P39019	Q86UK7	0	0.2919843	0.8269178
Q9BX68	Q01814	0	0.55382377	0.988412
Q86U44	Q9Y6Q9	0	0.2617925	0.77302873
Q92841	P54132	0	0.26160404	0.77266943
P38919	Q13485	1	0.27042907	0.78918874
Q99459	P46013	0	0.6204997	0.9419193
Q9UBS4	Q13217	1	0.45537052	0.99203277
Q8TED1	Q6ZSS7	1	0.7035489	0.8342714
P02724	O43156	1	0.6859875	0.8616346
Q9H2K0	Q9NUH8	0	0.7509101	0.74817646
Q8TDZ2	Q9GZQ4	0	0.10266651	0.3685044
Q9NVP1	Q96HH6	0	0.30223623	0.843558
Q8NDV2	P08908	1	0.6145794	0.9474863
P49281	Q16236	0	0.15411271	0.52144796
Q96B77	Q12905	0	0.49595356	0.9999345
P30086	O43513	0	0.36790514	0.9302038
A0AVI4	Q8TAD4	1	0.74477583	0.76033914
P01106	Q9H0R1	0	0.53015125	0.9963636
Q9BXP5	P40394	1	0.123011574	0.4315189
Q9NX05	Q9NWS0	1	0.42957374	0.98016053
Q8N490	Q7Z7M9	0	0.51919144	0.99852675
Q9H2U1	P55265	0	0.54383427	0.9923142
Q92794	Q96T23	1	0.6880595	0.85853446
Q8TAE8	Q9Y242	0	0.17887023	0.5875027
P32249	Q96P70	1	0.71098346	0.82194394
P59910	Q99750	1	0.36950183	0.9318809
O75061	Q9H1X3	0	0.29020345	0.82394165
Q8WTR4	Q9BX95	1	0.9293067	0.26278308
Q9BTX3	P62805	0	0.2587287	0.7671526
Q9NWS0	P48651	0	0.33014628	0.8845988
Q99832	Q9UL40	0	0.29767394	0.8362567
P49411	O60925	0	0.57251346	0.9789672
Q9NY93	Q6P158	1	0.78804535	0.6681195
Q2QGD7	Q96E35	1	0.3964396	0.957101
Q9BXP5	Q96DR5	1	0.032742426	0.12668143
O95786	Q7Z5J1	1	0.6084277	0.9529737
Q96RL1	Q9C086	1	0.6545165	0.9044986
Q8IY37	Q9UHW9	0	0.1028697	0.3691501
Q8IV16	P51946	0	0.59487903	0.9639919
Q6UVY6	Q6NZ67	0	0.47600648	0.9976972
P07737	P30086	1	0.44209045	0.9865859
Q9UBK5	Q9GZU3	1	0.8667551	0.4619627
P17040	O14709	1	0.52814615	0.9968312
Q9NRG4	Q2QGD7	1	0.52051216	0.998317
Q05639	Q969Q0	0	0.30639216	0.850064
A2A3N6	Q9UHK6	1	0.28327033	0.812113
Q9NPA8	Q14CW9	1	0.51963204	0.9984583
O95409	O15014	0	0.6763097	0.8756595
Q96LL9	Q32P28	1	0.7964479	0.64847463
P26196	Q9H467	0	0.26786667	0.7844565
Q9ULD4	Q9UPP1	1	0.5975569	0.96193063
O15534	Q69YG0	0	0.1775633	0.5841383
P15822	Q5TCM9	0	0.11900542	0.4193725
Q9GZR7	Q9H1C4	0	0.13748375	0.4743279
P46013	Q8N5K1	0	0.16741014	0.55753595
Q5VYS8	Q96EB6	0	0.57478964	0.977626
O15409	Q8WXI9	1	0.79040265	0.6626652
Q14CZ7	Q96EY8	1	0.8707264	0.45024773
Q969Q0	P42766	1	0.94594884	0.20451853
Q01469	P61604	1	0.66684055	0.8886569
P55085	Q96IQ9	0	0.35223395	0.9126608
Q9BY14	P18621	0	0.38434452	0.94649523
P36956	Q15648	1	0.39306813	0.9542623
Q8N680	Q7Z3K3	1	0.5655336	0.9828214
P25490	Q8TAE8	0	0.37300956	0.9354937
O94761	O60884	1	0.45074627	0.99029624
