Protein A	Protein B	T	S	uncertainty
P51946	Q9Y5N1	0	0.12333952	0.43250751
Q9NZC7	Q9UI26	0	0.54726934	0.99106246
P27449	Q96B77	1	0.51716363	0.9988216
O95793	P54709	0	0.2955549	0.83280885
P61513	Q13838	0	0.5392904	0.9938251
O94761	Q7L5N1	1	0.4967804	0.9999585
P02775	P48061	1	0.8087051	0.6188047
Q9NQE9	O00585	0	0.2725395	0.7930469
Q8WWI5	P55317	0	0.16885012	0.56135905
Q8IVM8	O75915	1	0.8667848	0.46187562
Q8NHZ7	Q9P2Y4	1	0.42417672	0.9770034
O60762	Q9NQX1	0	0.34041968	0.8981365
O15121	Q92905	0	0.30838054	0.85312796
P49711	Q92499	0	0.69848174	0.84242
Q96FW1	Q9Y6B2	0	0.53128743	0.9960844
P62805	P62888	0	0.6557337	0.9029881
P55769	P62847	1	0.5773673	0.9760572
Q9NUH8	P61073	0	0.2872679	0.81898016
Q8N4P3	P49368	0	0.5950251	0.9638809
Q9UQ35	P35372	0	0.07377706	0.273336
P01591	Q7L5N1	0	0.5594423	0.9858665
Q6P4A7	P26196	0	0.35600382	0.9170604
P35869	P35269	1	0.5203464	0.9983441
Q86YP4	Q96CB8	1	0.47364414	0.99722147
Q01664	Q9H8M2	0	0.5579627	0.9865613
P23368	P31939	1	0.7809506	0.68426704
P40429	P17987	0	0.47676018	0.9978397
P41002	Q16718	1	0.5298686	0.99643147
P09669	Q9UHI5	0	0.54655534	0.9913304
P26373	O15015	1	0.21350121	0.6716738
P17040	Q15911	0	0.4030788	0.9624251
Q8N5K1	P78369	1	0.3174825	0.86674947
O60676	Q9BX68	0	0.7495272	0.7509447
P07737	Q5T0Z8	1	0.16804771	0.5592307
Q9Y2Y4	Q9UEG4	0	0.50617677	0.9998474
O60885	P49450	0	0.3179586	0.8674437
P41002	Q99941	0	0.5258961	0.99731755
P0C5Z0	P23396	1	0.56434506	0.98343885
Q8NDV2	Q99497	0	0.7628457	0.72364855
P25090	P03928	1	0.34478822	0.90363723
Q96BW9	P35269	0	0.3423895	0.9006358
Q96C86	O95139	0	0.68479156	0.8634083
Q15532	Q8ND83	0	0.49808246	0.9999853
O95793	Q92499	1	0.5378079	0.99428225
P07858	Q53GQ0	1	0.764193	0.72080827
O15446	A2A3N6	0	0.38639554	0.94837606
O95994	P56192	1	0.6991816	0.84130675
Q9UFB7	P26373	1	0.75537306	0.7391384
O75394	Q9BYC9	1	0.6817691	0.86784
P29371	Q15022	0	0.33634636	0.8928699
P78371	P49368	1	0.5758687	0.97697574
Q9NRE2	P62847	0	0.72664565	0.794527
O15514	P13667	0	0.6760737	0.87599224
P82912	Q13330	0	0.19667128	0.63196677
P10109	P39748	1	0.59413755	0.96455246
Q8TBX8	P63208	1	0.44191885	0.98650634
P61604	P78334	1	0.17108047	0.56724775
O95994	P62847	1	0.61007506	0.9515339
Q13304	Q9ULD9	0	0.29647902	0.83431685
P62805	Q5SSJ5	1	0.4852942	0.9991349
O00409	Q8IYL3	0	0.4759469	0.9976858
Q13105	Q13118	0	0.34021303	0.89787245
Q96HZ4	O14628	1	0.49071854	0.9996554
O95994	Q9NVP1	1	0.51635116	0.9989306
O14880	Q9Y5L4	1	0.43989724	0.98555064
Q9P2Y4	Q9NX01	1	0.53830445	0.9941311
Q9NPC1	Q9H3S5	1	0.801232	0.63703716
Q8TDD1	P62266	1	0.8075038	0.6217656
Q99612	Q9NZC7	0	0.61106396	0.9506592
Q9H1A4	Q9BVG9	0	0.38183016	0.94414353
O75251	P62424	0	0.56701416	0.9820364
P61073	Q6P9B9	1	0.7609012	0.7277222
P62633	Q9NR30	1	0.81877637	0.5935265
O15055	P50990	1	0.44194192	0.986517
Q9NPA1	Q6IQ21	0	0.2017368	0.6441562
Q8WVX9	Q8IY37	0	0.3156224	0.8640196
Q6P9B9	P52435	1	0.32414973	0.8763067
Q9NP55	Q32P28	0	0.6583489	0.8997025
Q5JX71	P60201	1	0.7948256	0.65231144
P10242	P25490	1	0.53934175	0.9938089
Q01664	Q9H4Z2	1	0.54355276	0.9924126
Q01664	P49711	1	0.47726652	0.9979327
Q96MF4	O60832	1	0.71869373	0.8086922
Q9UBB9	Q9NRE2	1	0.27125603	0.7907048
Q8IVM8	Q01814	0	0.8150337	0.6030151
P63279	Q7Z2E3	0	0.48690727	0.99931437
Q8IWL3	Q9BYD6	1	0.7628839	0.7235682
Q3B8N2	P51798	1	0.560611	0.98530525
Q68CP9	Q92665	0	0.43603638	0.98363465
P62633	O60832	1	0.8600051	0.48158535
O60885	P50990	1	0.40078253	0.96062356
Q9NWZ8	P78563	0	0.59416735	0.96453005
P30876	Q9H9Y6	1	0.45759857	0.99280846
Q9NUD5	P57071	0	0.5798175	0.9745167
Q99459	P09234	0	0.35531121	0.9162606
Q9H1Y0	Q04656	0	0.51174974	0.99944776
Q9UBB9	Q53FD0	1	0.43172568	0.9813545
O00214	Q8WUY1	0	0.43208802	0.9815518
P51172	Q8NBB4	0	0.19093715	0.6179206
Q5TCM9	Q86WC4	0	0.41805482	0.97313994
P62280	P63173	1	0.70946527	0.8244972
P14635	Q13423	0	0.75171375	0.74656075
P54219	Q99519	1	0.607786	0.9535287
Q495W5	Q8N5U1	0	0.21061808	0.6650324
Q8N0Y2	P23763	0	0.23047435	0.7094237
Q9C0C9	P01106	0	0.33357134	0.88920605
Q9Y5I7	Q49A26	0	0.39595523	0.9566988
Q9BUQ8	Q8TF01	1	0.6644459	0.8918302
Q9NZB2	Q8IYB8	1	0.5237259	0.9977483
Q7L2E3	P82930	1	0.62322664	0.9392608
Q07325	Q9NRC8	0	0.72417295	0.79898596
O95183	Q9UGP8	1	0.6765931	0.87525946
Q96Q45	P57060	0	0.43904188	0.9851365
Q04864	Q9BRG1	1	0.47497427	0.9974949
P63279	Q92830	1	0.44983935	0.98993564
Q71U36	P22234	0	0.7161528	0.8131119
P34995	P39019	0	0.5664718	0.982326
Q9UHM6	P23381	0	0.76903623	0.710478
P61081	P48643	1	0.44200003	0.986544
Q9NPI1	Q8WVZ9	0	0.3931241	0.9543102
Q9NR30	P09622	0	0.62957335	0.93284297
P62805	Q969Q0	0	0.5209165	0.99825
Q9UKX7	Q96NC0	1	0.5997141	0.9602284
P54259	O95251	1	0.4017411	0.9613807
P42166	P41222	0	0.26991555	0.78824455
Q9NS73	Q5T6C5	0	0.44575036	0.9882279
O95182	P62857	1	0.34334168	0.90183264
Q7RTS1	Q96JP5	1	0.48400593	0.99897677
Q96DT0	Q9UGP4	1	0.6476831	0.9127588
Q01664	Q15554	1	0.57397413	0.9781113
Q8IVS8	Q9NZI7	1	0.19988748	0.6397299
Q8TDT2	Q9H2L4	1	0.7338801	0.7812004
P38919	Q9GZT5	0	0.32846034	0.88229656
P62857	Q5BKZ1	0	0.7575851	0.73459965
P21675	Q99523	0	0.2991854	0.838694
O95786	Q7Z2H8	1	0.1553381	0.52483267
P59998	P19404	0	0.4347846	0.9829878
Q6PEY1	O95822	1	0.62159383	0.94085974
Q96S52	Q15428	1	0.19562286	0.62941825
Q9P0M6	Q6DKI1	1	0.6252213	0.9372785
Q86UZ6	Q6ICB0	1	0.35355282	0.9142129
P25440	P49643	0	0.55077535	0.98968744
O75953	Q9H582	1	0.37392792	0.9364233
P80188	B3EWG3	1	0.5967852	0.9625305
P30519	P49411	1	0.63966453	0.92197526
O95786	Q7Z7H8	0	0.36438286	0.92643195
Q9NYF3	P51798	0	0.37775046	0.9402202
Q9NR12	Q15554	0	0.5298218	0.9964426
Q9HBX9	Q86UK7	0	0.4390085	0.9851202
P61081	Q6Y288	0	0.36988622	0.9322816
Q9BYX4	Q96RE7	1	0.44406998	0.9874873
Q96T91	Q9UIQ6	1	0.7657107	0.7175913
P35869	Q9H7F0	0	0.39231125	0.95361257
P26373	P56192	1	0.39911512	0.959289
O95711	Q86UD1	1	0.73486876	0.77934664
Q9H4Z2	P46013	1	0.383049	0.94528985
P46663	Q9HCP6	1	0.9018335	0.35411942
P37840	Q9Y657	0	0.23377189	0.7164903
Q16236	P17535	1	0.5851234	0.971016
O95670	Q8N5K1	0	0.4627103	0.994438
Q9NX58	P62424	0	0.91782296	0.3016959
Q9NVM6	Q9BUQ8	1	0.6511361	0.9086315
P62072	Q8TAX7	1	0.52565396	0.9973675
Q13952	Q92633	0	0.14916606	0.5076622
O95786	O60315	1	0.41656825	0.9721565
Q99856	P23025	1	0.58652335	0.97005486
P35414	P51857	1	0.63596046	0.926059
P17987	P02778	0	0.4124527	0.9693419
Q12906	Q12952	0	0.4760797	0.9977113
Q5T9L3	Q99598	0	0.81117046	0.61269176
P37275	Q92618	1	0.6250323	0.9374677
Q9Y5T4	P25398	1	0.51554704	0.99903315
P42766	Q9NQ50	1	0.7777131	0.6915017
Q9NR77	P17028	0	0.18695764	0.6080179
Q92499	Q9NTW7	1	0.3851	0.94719195
Q6NUQ1	Q9H116	0	0.23835815	0.7261742
Q6Y2X3	Q86XP3	1	0.66272455	0.8940829
P01106	Q8IYD8	1	0.5276114	0.99695045
Q9H2P0	Q12857	1	0.46015736	0.9936502
Q8N6I1	Q9UIY3	0	0.53129613	0.9960822
P61513	P16152	0	0.2943042	0.83075696
Q9Y316	Q15633	1	0.34495252	0.90384114
P42166	Q9NYU2	0	0.47774044	0.9980181
Q9Y3E0	Q16795	1	0.69375587	0.8498347
Q8TDS5	Q13642	0	0.38063005	0.9430033
P62266	Q9H9B4	0	0.22104415	0.68873453
Q9ULD4	Q92794	1	0.41980344	0.97427404
P62805	P61247	1	0.6304576	0.9319233
Q9Y2T7	Q9BYD6	1	0.6347022	0.9274213
Q12830	Q8IXM6	0	0.22704151	0.7019747
P49450	P62280	0	0.722941	0.8011893
O00624	Q9Y5Y0	1	0.67159086	0.8822263
Q02930	O60503	0	0.32382348	0.8758474
Q96KR1	O43615	0	0.3541158	0.91487116
Q9NR77	P51659	1	0.688271	0.85821617
P25490	Q9H2P0	1	0.6422582	0.9190504
P17987	Q9P0J7	0	0.17357974	0.57379925
Q99731	P32248	1	0.63212746	0.93016934
Q96EG3	O75586	0	0.5917346	0.96633905
Q9UHK6	Q9UL12	1	0.7403775	0.76887465
Q12906	Q9BYC8	1	0.3761495	0.9386442
P62280	P62888	1	0.70457447	0.83259714
P10244	P07992	0	0.5779125	0.97571856
Q9BQ83	Q86TJ2	0	0.599435	0.96045077
P53567	P01106	0	0.29000142	0.82360244
Q6ICB0	P59536	1	0.31086758	0.8569158
P63279	O95251	0	0.38629216	0.9482821
P61081	P40227	1	0.44060832	0.9858905
Q08211	Q9BXP5	1	0.6147362	0.9473424
Q96GQ7	Q9BVG9	0	0.1727409	0.5716059
Q5JTC6	P39210	0	0.18755902	0.6095226
Q9Y5P2	Q96P70	1	0.74374306	0.7623573
Q9H2F5	Q9NV70	1	0.34166738	0.8997231
Q9NQX0	Q8WWB5	1	0.549658	0.9901363
P41002	P49368	1	0.6658709	0.88994735
P46782	Q9UHI6	0	0.4195561	0.9741151
O75569	Q8IWL3	0	0.41221717	0.96917677
Q8IW40	P13716	1	0.49711412	0.9999667
P25090	P61604	0	0.7473764	0.7552197
O43167	P62266	0	0.80735695	0.6221268
Q99814	Q15369	1	0.48755342	0.99938035
P62280	Q9H609	0	0.3430125	0.9014197
O94762	Q86WC4	0	0.2065148	0.6554657
Q6PK04	Q5SSJ5	1	0.5120447	0.9994197
Q9NQ50	Q9UKX7	0	0.24665391	0.74326307
Q9BUQ8	Q56P03	1	0.5963748	0.9628476
O60885	Q7Z7K2	0	0.42225096	0.9758203
Q9Y2T7	Q9NR30	1	0.6667412	0.8887895
P49711	P46782	1	0.6269126	0.9355728
Q96T91	Q14202	1	0.41432956	0.9706423
Q99788	Q8N6M3	1	0.83411384	0.5534718
P41002	Q99714	1	0.61193913	0.9498785
P48735	Q9BU76	0	0.19416802	0.6258672
Q9Y3I1	Q12857	1	0.4002062	0.9601648
O95786	P78371	1	0.47434783	0.99736786
Q8IWL3	P38117	1	0.6973588	0.84419805
Q9UKX7	P08151	0	0.13458818	0.46589682
Q92993	P19404	1	0.38948494	0.9511457
Q6TDP4	P54253	1	0.4782297	0.9981042
P15144	Q9Y6H6	0	0.4319576	0.98148096
O95125	P41227	1	0.47880107	0.99820244
Q8N3F8	Q7Z3K3	0	0.48971218	0.9995766
Q9H582	P10073	0	0.51932585	0.99850607
P40429	Q15369	0	0.097908795	0.35329065
Q7Z7K2	Q7Z2T5	1	0.6329237	0.92932516
O43583	Q7L5N1	1	0.38790107	0.94973534
Q9BZS1	Q04864	1	0.56454676	0.98333484
Q9P0M9	Q9NQ50	1	0.8022788	0.63451004
P54253	P40227	1	0.4140097	0.9704227
Q8N680	Q8WXX5	1	0.5434308	0.99245507
Q9Y6H6	Q16739	1	0.5402143	0.9935312
P52739	O14545	1	0.5264022	0.9972117
Q16740	Q92506	1	0.67774576	0.87362576
Q86WI0	Q04941	1	0.739898	0.7697958
P29274	P18621	0	0.5149303	0.9991083
Q9P0R6	Q5T749	1	0.6239942	0.9385018
Q96QT6	Q9Y385	0	0.37067428	0.9330995
Q9BV94	O96000	0	0.6611998	0.8960585
O60220	Q8N4S7	1	0.6110646	0.9506586
Q6NUQ1	Q5TEC3	1	0.24325497	0.736328
Q99081	Q8N5K1	0	0.24939807	0.7487947
Q14197	Q8N6M3	0	0.3452319	0.9041873
Q9Y4H4	Q15022	0	0.4846375	0.999056
Q9H3N1	Q8NCK7	0	0.74736243	0.7552473
P56597	O60281	0	0.44708234	0.98879886
Q8N1G0	Q7KZN9	0	0.5116616	0.99945605
O60832	P19544	0	0.10371544	0.37183422
Q9BUE6	Q9NPA3	1	0.5191782	0.9985288
P04920	Q9Y6M7	0	0.61756	0.94471854
Q96BK5	Q16795	0	0.40884575	0.96676356
Q14686	O95786	0	0.28871638	0.82143694
Q02446	Q8TF50	0	0.5331373	0.9956077
P23025	Q8N1F7	0	0.36807898	0.93038744
Q92905	Q9NWT8	0	0.5150513	0.99909383
Q96QU8	O75376	0	0.28191102	0.80974877
P49768	Q9UHI6	1	0.32516113	0.87772554
P61081	P61313	0	0.45638865	0.9923922
Q96EY1	P62263	0	0.55068934	0.9897224
P49407	P78369	0	0.3390436	0.8963721
Q5JXX7	Q15800	0	0.45880097	0.99321055
P62888	P04198	0	0.17904395	0.58794886
Q7RTS1	P23396	1	0.53015184	0.99636346
O75626	Q9Y5L4	1	0.20819674	0.65940344
Q6P158	Q9NVU7	0	0.6649109	0.8912176
Q9C0C9	O43541	1	0.59555364	0.963478
P62805	Q86Y39	0	0.49807563	0.9999852
Q4LE39	Q9UBB5	1	0.5533485	0.98861575
Q13144	P13667	0	0.46673036	0.9955725
Q96CK0	Q9H1C4	0	0.2636551	0.77656436
P0C7P0	Q16718	1	0.8157931	0.6010989
Q96FI4	P49411	0	0.6141654	0.947865
Q13304	Q9C0E2	1	0.72433114	0.7987022
Q13206	Q8TDD1	1	0.7917441	0.6595415
Q9UHL9	Q9UBW7	1	0.54397935	0.99226326
Q96G42	Q9HBE1	1	0.42556298	0.9778365
O15514	O95274	0	0.55405706	0.98831135
P61244	Q9UQ35	0	0.39979464	0.9598355
Q9P2R6	Q9NS73	1	0.41196808	0.9690015
P27449	P14416	1	0.09866662	0.3557261
Q7Z4V5	Q99460	0	0.6684626	0.88648146
Q9NY93	P56748	0	0.11071053	0.39381486
P37840	P51659	1	0.66515374	0.890897
P01106	P52434	1	0.4184482	0.9733972
O95793	Q9Y221	1	0.48958772	0.9995663
P62750	P62888	1	0.6848532	0.8633172
Q96SF2	Q8TCN5	1	0.23555203	0.7202691
Q9UFW8	Q9NUD5	0	0.38501284	0.9471118
P01308	P63220	1	0.60554767	0.95543873
O95786	O43653	0	0.1989018	0.6373595
P01106	Q96QT6	1	0.5306861	0.99623346
P85037	P55197	0	0.4898145	0.999585
Q9NWS8	Q9Y5Y3	0	0.15161662	0.51451606
Q9NR30	Q13206	0	0.7702308	0.7079012
Q92785	Q96DV4	1	0.508981	0.99967736
Q9H1Y0	Q5FWF5	0	0.2846705	0.8145329
Q9Y5Y3	Q9BVG9	1	0.87734646	0.4304386
Q13838	Q8TCT9	1	0.6210759	0.9413625
Q5T5X7	O75506	1	0.55159503	0.9893518
P46782	P35268	1	0.4185173	0.97344226
Q96Q45	P47710	0	0.50795025	0.99974716
P54709	P42766	1	0.3573953	0.9186556
P35408	P38919	0	0.58841914	0.96872824
Q13206	P55786	0	0.35148656	0.91177505
Q6P1R3	Q99633	0	0.5005764	0.9999987
O14958	Q9NQV6	1	0.37861276	0.94106054
O14842	Q96EC8	1	0.82385325	0.5804763
Q8IXH7	P14854	1	0.56428546	0.98346955
Q9H6L2	Q9UPM9	1	0.76181376	0.7258142
Q96HE7	Q12905	0	0.5812383	0.97360134
Q04837	P56556	1	0.8056752	0.6262507
O60885	Q9NWS0	0	0.43632653	0.9837828
O75409	P54253	1	0.6027353	0.95778185
Q68E01	Q01658	0	0.45396605	0.99152356
Q9Y3E2	O00746	1	0.8465787	0.5195328
Q9NR30	Q5SSJ5	1	0.5892434	0.96814245
O15446	Q15697	1	0.31597486	0.864539
Q92583	Q9H2L4	0	0.8358021	0.5489479
Q9P2G3	Q96M94	1	0.58498776	0.9711083
Q8N653	Q14697	0	0.5538369	0.98840636
P56556	O95139	1	0.87605053	0.434344
Q15022	Q9UHB6	1	0.45646167	0.99241763
Q9H9D4	Q9UDV6	1	0.29731432	0.8356741
O00214	P31150	1	0.58344537	0.97214746
Q92791	O43615	0	0.75314057	0.7436794
Q68CQ7	P58417	0	0.6396915	0.92194515
Q9UFB7	Q9UL41	1	0.51493335	0.99910796
Q01658	Q9NWS9	0	0.18943903	0.6142075
P26358	Q03403	0	0.1986761	0.6368156
P36956	Q8N0Y2	0	0.23704202	0.72341245
P48651	O75541	0	0.1955801	0.62931406
O95994	P39019	0	0.7334558	0.7819936
Q9HCG8	Q9Y421	1	0.7262197	0.7952986
O94761	Q16540	1	0.6047837	0.9560815
Q9NWN3	Q13485	1	0.42462543	0.9772747
Q66K89	Q96GQ7	1	0.7257896	0.79607624
P55085	P17987	0	0.70301354	0.835142
Q5T4S7	Q9NRM0	0	0.12832606	0.44743392
P49447	Q9NWH2	1	0.8870802	0.40067568
Q8NCK7	P62495	0	0.7037158	0.8339995
P37840	Q96DG6	1	0.6229322	0.9395507
Q16842	P24864	0	0.33628112	0.89278454
O14867	Q15800	0	0.25663012	0.7630844
O75947	Q9Y6H6	0	0.13347763	0.4626454
Q9NSC2	Q13330	1	0.6327254	0.92953587
Q9H9D4	Q96JM3	1	0.56331414	0.9839653
Q12906	Q96KR1	1	0.59147286	0.96653086
O60925	Q71U36	1	0.47606045	0.9977076
Q99742	O75953	1	0.54872817	0.99050224
Q9UGQ2	Q8TDZ2	0	0.42841172	0.9795005
Q6UW68	Q96IK5	0	0.2669272	0.7827083
P39019	Q86UK7	0	0.21169223	0.6675145
Q9BX68	Q01814	0	0.47341987	0.9971739
Q86U44	Q9Y6Q9	0	0.19380982	0.6249903
Q92841	P54132	0	0.40713453	0.965504
P38919	Q13485	1	0.36396727	0.9259803
Q99459	P46013	0	0.32579333	0.87860817
Q9UBS4	Q13217	1	0.42000648	0.9744041
Q8TED1	Q6ZSS7	1	0.5446405	0.9920289
P02724	O43156	1	0.7545467	0.7408239
Q9H2K0	Q9NUH8	0	0.75066334	0.74867153
Q8TDZ2	Q9GZQ4	0	0.13631059	0.47092006
Q9NVP1	Q96HH6	0	0.41198227	0.9690115
Q8NDV2	P08908	1	0.5368353	0.99457264
P49281	Q16236	0	0.212874	0.6702346
Q96B77	Q12905	0	0.51629245	0.9989382
P30086	O43513	0	0.28622964	0.81720895
A0AVI4	Q8TAD4	1	0.68288	0.86621964
P01106	Q9H0R1	0	0.5767688	0.9764262
Q9BXP5	P40394	1	0.29774836	0.83637714
Q9NX05	Q9NWS0	1	0.54416883	0.99219644
Q8N490	Q7Z7M9	0	0.4260412	0.9781204
Q9H2U1	P55265	0	0.5384139	0.9940975
Q92794	Q96T23	1	0.5894961	0.9679618
Q8TAE8	Q9Y242	0	0.10064849	0.36207348
P32249	Q96P70	1	0.7757943	0.69574994
P59910	Q99750	1	0.27340862	0.79462534
O75061	Q9H1X3	0	0.44635436	0.98848855
Q8WTR4	Q9BX95	1	0.86360115	0.47117683
Q9BTX3	P62805	0	0.40605298	0.9646959
Q9NWS0	P48651	0	0.49455824	0.9998816
Q99832	Q9UL40	0	0.31596267	0.864521
P49411	O60925	0	0.50205594	0.9999831
Q9NY93	Q6P158	1	0.64254427	0.91872454
Q2QGD7	Q96E35	1	0.53262585	0.9957422
Q9BXP5	Q96DR5	1	0.10253978	0.36810148
O95786	Q7Z5J1	1	0.42789215	0.97920185
Q96RL1	Q9C086	1	0.3872892	0.94918513
Q8IY37	Q9UHW9	0	0.27533644	0.7981051
Q8IV16	P51946	0	0.6685679	0.8863395
Q6UVY6	Q6NZ67	0	0.39607856	0.9568013
P07737	P30086	1	0.5444113	0.99211055
Q9UBK5	Q9GZU3	1	0.7676521	0.7134494
P17040	O14709	1	0.53080374	0.9962045
Q9NRG4	Q2QGD7	1	0.432964	0.9820247
Q05639	Q969Q0	0	0.3117329	0.858222
A2A3N6	Q9UHK6	1	0.5102585	0.9995791
Q9NPA8	Q14CW9	1	0.41849998	0.97343105
O95409	O15014	0	0.63130474	0.93103623
Q96LL9	Q32P28	1	0.6791859	0.87156963
P26196	Q9H467	0	0.3838748	0.9460598
Q9ULD4	Q9UPP1	1	0.49129036	0.9996966
O15534	Q69YG0	0	0.16518708	0.55160123
P15822	Q5TCM9	0	0.29141942	0.8259766
Q9GZR7	Q9H1C4	0	0.16893156	0.56157476
P46013	Q8N5K1	0	0.28492776	0.81497574
Q5VYS8	Q96EB6	0	0.5587267	0.9862047
O15409	Q8WXI9	1	0.6785917	0.87241995
Q14CZ7	Q96EY8	1	0.78920394	0.6654443
Q969Q0	P42766	1	0.8837568	0.41092283
Q01469	P61604	1	0.5909146	0.96693814
P55085	Q96IQ9	0	0.25526088	0.7604111
Q9BY14	P18621	0	0.5795322	0.9746985
P36956	Q15648	1	0.30501056	0.8479165
Q8N680	Q7Z3K3	1	0.5418175	0.9930052
P25490	Q8TAE8	0	0.38199446	0.94429874
