Protein A	Protein B	T	S	uncertainty
Q9H1A4	Q9BVG9	0	0.28248036	0.8107408
O75251	P62424	0	0.51239693	0.99938524
P61073	Q6P9B9	1	0.57428724	0.9779256
P62633	Q9NR30	1	0.75324225	0.7434735
O15055	P50990	1	0.27016398	0.7887016
Q9NPA1	Q6IQ21	0	0.12762482	0.44534692
Q8WVX9	Q8IY37	0	0.19601189	0.6303649
Q6P9B9	P52435	1	0.6998227	0.8402835
Q9NP55	Q32P28	0	0.6267662	0.93572134
Q5JX71	P60201	1	0.84894353	0.51295364
P10242	P25490	1	0.6791188	0.8716658
Q01664	Q9H4Z2	1	0.5038824	0.9999397
Q01664	P49711	1	0.40679955	0.9652547
Q96MF4	O60832	1	0.46974862	0.99633944
Q9UBB9	Q9NRE2	1	0.6539344	0.90521675
Q8IVM8	Q01814	0	0.8164542	0.59942704
P63279	Q7Z2E3	0	0.45023668	0.9900944
Q8IWL3	Q9BYD6	1	0.8348098	0.55160964
Q3B8N2	P51798	1	0.46381238	0.9947619
Q68CP9	Q92665	0	0.2699661	0.7883376
P62633	O60832	1	0.7452532	0.75940347
O60885	P50990	1	0.25479558	0.7594992
Q9NWZ8	P78563	0	0.4626277	0.99441326
P30876	Q9H9Y6	1	0.5408884	0.99331254
Q9NUD5	P57071	0	0.8115596	0.6117224
Q99459	P09234	0	0.6376905	0.9241653
Q9H1Y0	Q04656	0	0.36053357	0.9221964
Q9UBB9	Q53FD0	1	0.54665095	0.99129474
O00214	Q8WUY1	0	0.35377064	0.91446793
P51172	Q8NBB4	0	0.17492917	0.57731587
Q5TCM9	Q86WC4	0	0.28697294	0.81847787
P62280	P63173	1	0.90717596	0.33683094
P14635	Q13423	0	0.54313344	0.992558
P54219	Q99519	1	0.718916	0.8083031
Q495W5	Q8N5U1	0	0.46299627	0.9945229
Q8N0Y2	P23763	0	0.17314896	0.57267356
Q9C0C9	P01106	0	0.6162369	0.94595593
Q9Y5I7	Q49A26	0	0.12024888	0.42315635
Q9BUQ8	Q8TF01	1	0.8606615	0.4796931
Q9NZB2	Q8IYB8	1	0.3601537	0.9217721
Q7L2E3	P82930	1	0.7197549	0.8068312
Q07325	Q9NRC8	0	0.67932534	0.87136966
O95183	Q9UGP8	1	0.77376175	0.700218
Q96Q45	P57060	0	0.300369	0.8405898
Q04864	Q9BRG1	1	0.41252923	0.96939546
P63279	Q92830	1	0.4845304	0.99904275
Q71U36	P22234	0	0.6679976	0.88710725
P34995	P39019	0	0.24527374	0.74045813
Q9UHM6	P23381	0	0.34531003	0.90428406
P61081	P48643	1	0.3767425	0.9392304
Q9NPI1	Q8WVZ9	0	0.44848713	0.98938566
Q9NR30	P09622	0	0.64998883	0.9100134
P62805	Q969Q0	0	0.77209824	0.7038502
Q9UKX7	Q96NC0	1	0.5173147	0.9988008
P54259	O95251	1	0.667184	0.888198
P42166	P41222	0	0.37752295	0.9399975
Q9NS73	Q5T6C5	0	0.62105525	0.9413825
O95182	P62857	1	0.5611189	0.9850579
Q7RTS1	Q96JP5	1	0.39526188	0.9561197
Q96DT0	Q9UGP4	1	0.7151009	0.81492645
Q01664	Q15554	1	0.4950494	0.999902
Q8IVS8	Q9NZI7	1	0.25861365	0.7669305
Q8TDT2	Q9H2L4	1	0.7829866	0.6796744
P38919	Q9GZT5	0	0.24685091	0.7436621
P62857	Q5BKZ1	0	0.7261369	0.79544836
P21675	Q99523	0	0.14313874	0.49060014
O95786	Q7Z2H8	1	0.18713605	0.6084646
P59998	P19404	0	0.24111648	0.7319173
Q6PEY1	O95822	1	0.3173835	0.8666048
Q96S52	Q15428	1	0.16317172	0.54618686
Q9P0M6	Q6DKI1	1	0.8320285	0.55902827
Q86UZ6	Q6ICB0	1	0.22854143	0.70524096
P25440	P49643	0	0.40935713	0.9671355
O75953	Q9H582	1	0.31596172	0.86451966
P80188	B3EWG3	1	0.5651277	0.98303354
P30519	P49411	1	0.33446634	0.89039445
O95786	Q7Z7H8	0	0.2980032	0.8367892
Q9NYF3	P51798	0	0.23166455	0.71198434
Q9NR12	Q15554	0	0.55865395	0.98623884
Q9HBX9	Q86UK7	0	0.32962844	0.8838941
P61081	Q6Y288	0	0.6707632	0.88335973
Q9BYX4	Q96RE7	1	0.7085397	0.82604474
Q96T91	Q9UIQ6	1	0.61503375	0.9470689
P35869	Q9H7F0	0	0.1997578	0.6394185
P26373	P56192	1	0.3772606	0.9397402
O95711	Q86UD1	1	0.7446774	0.76053184
Q9H4Z2	P46013	1	0.5869624	0.96975017
P46663	Q9HCP6	1	0.78699404	0.6705377
P37840	Q9Y657	0	0.4765555	0.9978015
Q16236	P17535	1	0.67239094	0.88112545
O95670	Q8N5K1	0	0.55751306	0.986769
Q9NX58	P62424	0	0.9293665	0.26257753
Q9NVM6	Q9BUQ8	1	0.57152724	0.9795354
P62072	Q8TAX7	1	0.6998409	0.8402544
Q13952	Q92633	0	0.18691021	0.6078991
O95786	O60315	1	0.5382234	0.9941559
Q99856	P23025	1	0.502992	0.9999642
P35414	P51857	1	0.48984858	0.9995877
P17987	P02778	0	0.6268283	0.93565834
Q12906	Q12952	0	0.7818628	0.6822135
Q5T9L3	Q99598	0	0.37955046	0.9419676
P37275	Q92618	1	0.8242917	0.57933956
Q9Y5T4	P25398	1	0.4283896	0.97948784
P42766	Q9NQ50	1	0.8213286	0.5869918
Q9NR77	P17028	0	0.24089542	0.7314593
Q92499	Q9NTW7	1	0.68616986	0.8613631
Q6NUQ1	Q9H116	0	0.16839612	0.56015545
Q6Y2X3	Q86XP3	1	0.12966387	0.4514046
P01106	Q8IYD8	1	0.6174779	0.9447958
Q9H2P0	Q12857	1	0.81400955	0.605592
Q8N6I1	Q9UIY3	0	0.72980666	0.7887556
P61513	P16152	0	0.26047832	0.77051747
Q9Y316	Q15633	1	0.5457248	0.991637
P42166	Q9NYU2	0	0.3423824	0.9006267
Q9Y3E0	Q16795	1	0.43731487	0.9842823
Q8TDS5	Q13642	0	0.65190774	0.9076961
P62266	Q9H9B4	0	0.39915204	0.95931876
Q9ULD4	Q92794	1	0.6678465	0.8873102
P62805	P61247	1	0.77119535	0.70581234
Q9Y2T7	Q9BYD6	1	0.61854345	0.9437898
Q12830	Q8IXM6	0	0.17944162	0.5889693
P49450	P62280	0	0.46468928	0.99501264
O00624	Q9Y5Y0	1	0.8465813	0.51952565
Q02930	O60503	0	0.26085624	0.771241
Q96KR1	O43615	0	0.2769797	0.80104786
Q9NR77	P51659	1	0.6013466	0.9589155
P25490	Q9H2P0	1	0.813555	0.606733
P17987	Q9P0J7	0	0.43073523	0.98080957
Q99731	P32248	1	0.6212843	0.94116044
Q96EG3	O75586	0	0.72132313	0.8040643
Q9UHK6	Q9UL12	1	0.75822383	0.7332818
Q12906	Q9BYC8	1	0.36899504	0.93135077
P62280	P62888	1	0.76581466	0.7173703
P10244	P07992	0	0.6076358	0.95365816
Q9BQ83	Q86TJ2	0	0.6880598	0.85853404
P53567	P01106	0	0.6495221	0.9105725
Q6ICB0	P59536	1	0.6383552	0.92343134
P63279	O95251	0	0.30921772	0.8544085
P61081	P40227	1	0.40252784	0.96199673
Q08211	Q9BXP5	1	0.7868318	0.67091006
Q96GQ7	Q9BVG9	0	0.1686646	0.5608674
Q5JTC6	P39210	0	0.23894823	0.7274079
Q9Y5P2	Q96P70	1	0.64054453	0.9209889
Q9H2F5	Q9NV70	1	0.43423903	0.98270196
Q9NQX0	Q8WWB5	1	0.57120454	0.97971964
P41002	P49368	1	0.4729836	0.99708045
P46782	Q9UHI6	0	0.71634257	0.8127836
O75569	Q8IWL3	0	0.3912665	0.9527081
Q8IW40	P13716	1	0.4516799	0.99066067
P25090	P61604	0	0.5530691	0.98873466
O43167	P62266	0	0.89110494	0.3881477
Q99814	Q15369	1	0.53503114	0.99509126
P62280	Q9H609	0	0.80308837	0.63254976
O94762	Q86WC4	0	0.43702325	0.9841357
Q6PK04	Q5SSJ5	1	0.8516902	0.5052561
Q9NQ50	Q9UKX7	0	0.2119702	0.6681553
Q9BUQ8	Q56P03	1	0.64351046	0.917619
O60885	Q7Z7K2	0	0.46025854	0.99368244
Q9Y2T7	Q9NR30	1	0.73318183	0.7825049
P49711	P46782	1	0.60059494	0.9595226
Q96T91	Q14202	1	0.5948491	0.9640146
Q99788	Q8N6M3	1	0.75049645	0.7490061
P41002	Q99714	1	0.44423115	0.9875593
P48735	Q9BU76	0	0.47052392	0.9965246
Q9Y3I1	Q12857	1	0.37959492	0.94201046
O95786	P78371	1	0.31367105	0.86112607
Q8IWL3	P38117	1	0.5798074	0.9745231
Q9UKX7	P08151	0	0.46736103	0.9957388
Q92993	P19404	1	0.31275195	0.85975266
Q6TDP4	P54253	1	0.36166185	0.92345023
P15144	Q9Y6H6	0	0.7973423	0.6463502
O95125	P41227	1	0.5202084	0.9983665
Q8N3F8	Q7Z3K3	0	0.25709522	0.7639891
Q9H582	P10073	0	0.8246628	0.57837623
P40429	Q15369	0	0.24678558	0.74352986
Q7Z7K2	Q7Z2T5	1	0.7917119	0.6596166
O43583	Q7L5N1	1	0.6006747	0.9594584
Q9BZS1	Q04864	1	0.6429475	0.91826403
Q9P0M9	Q9NQ50	1	0.9536027	0.17697847
P54253	P40227	1	0.3061481	0.8496858
Q8N680	Q8WXX5	1	0.51492554	0.9991089
Q9Y6H6	Q16739	1	0.5811336	0.97366935
P52739	O14545	1	0.52548516	0.997402
Q16740	Q92506	1	0.64279175	0.9184421
Q86WI0	Q04941	1	0.8343479	0.5528459
P29274	P18621	0	0.10312478	0.36996025
Q9P0R6	Q5T749	1	0.5810907	0.9736972
Q96QT6	Q9Y385	0	0.26117474	0.77185
Q9BV94	O96000	0	0.90091103	0.35708138
O60220	Q8N4S7	1	0.5270536	0.9970724
Q6NUQ1	Q5TEC3	1	0.19310085	0.6232517
Q99081	Q8N5K1	0	0.18150502	0.5942438
Q14197	Q8N6M3	0	0.3412865	0.8992401
Q9Y4H4	Q15022	0	0.43700507	0.9841266
Q9H3N1	Q8NCK7	0	0.64315116	0.918031
P56597	O60281	0	0.45281315	0.9910936
Q8N1G0	Q7KZN9	0	0.39702457	0.95758426
O60832	P19544	0	0.5772799	0.97611123
Q9BUE6	Q9NPA3	1	0.19747639	0.63391787
P04920	Q9Y6M7	0	0.85929793	0.48362
Q96BK5	Q16795	0	0.4232937	0.97646457
Q14686	O95786	0	0.5990351	0.9607682
Q02446	Q8TF50	0	0.8229323	0.5828589
P23025	Q8N1F7	0	0.42891666	0.9797886
Q92905	Q9NWT8	0	0.61660886	0.9456095
Q96QU8	O75376	0	0.358203	0.91957444
P49768	Q9UHI6	1	0.13259713	0.46006054
P61081	P61313	0	0.1692455	0.5624058
Q96EY1	P62263	0	0.7475012	0.75497264
P49407	P78369	0	0.7567001	0.7364202
Q5JXX7	Q15800	0	0.62450975	0.9379893
P62888	P04198	0	0.55141455	0.9894262
Q7RTS1	P23396	1	0.29482403	0.83161134
O75626	Q9Y5L4	1	0.2774608	0.8019052
Q6P158	Q9NVU7	0	0.7277459	0.79252726
Q9C0C9	O43541	1	0.5638699	0.9836826
P62805	Q86Y39	0	0.29499936	0.8318989
Q4LE39	Q9UBB5	1	0.5977582	0.96177334
Q13144	P13667	0	0.42406568	0.97693586
Q96CK0	Q9H1C4	0	0.09223456	0.33490938
P0C7P0	Q16718	1	0.9398236	0.22622071
Q96FI4	P49411	0	0.41925868	0.9739233
Q13304	Q9C0E2	1	0.66142714	0.8957651
Q13206	Q8TDD1	1	0.93695575	0.23627868
Q9UHL9	Q9UBW7	1	0.48917747	0.9995315
Q96G42	Q9HBE1	1	0.38979307	0.9514178
O15514	O95274	0	0.43854052	0.98489094
P61244	Q9UQ35	0	0.57677996	0.9764193
Q9P2R6	Q9NS73	1	0.5199681	0.9984051
P27449	P14416	1	0.6881446	0.8584064
Q7Z4V5	Q99460	0	0.4472947	0.9888886
Q9NY93	P56748	0	0.1458743	0.49837998
P37840	P51659	1	0.5796115	0.97464806
P01106	P52434	1	0.43633258	0.98378587
O95793	Q9Y221	1	0.42113954	0.9751241
P62750	P62888	1	0.81492513	0.60328865
Q96SF2	Q8TCN5	1	0.58383256	0.9718884
Q9UFW8	Q9NUD5	0	0.74226695	0.7652269
P01308	P63220	1	0.3172019	0.86633945
O95786	O43653	0	0.5421555	0.99289167
P01106	Q96QT6	1	0.7596792	0.73026687
P85037	P55197	0	0.79299027	0.6566268
Q9NWS8	Q9Y5Y3	0	0.47276458	0.9970329
Q9NR30	Q13206	0	0.8874839	0.3994249
Q92785	Q96DV4	1	0.5392678	0.9938322
Q9H1Y0	Q5FWF5	0	0.32727724	0.8806674
Q9Y5Y3	Q9BVG9	1	0.773447	0.700907
Q13838	Q8TCT9	1	0.226089	0.69989103
Q5T5X7	O75506	1	0.55408597	0.98829883
P46782	P35268	1	0.6657836	0.8900632
Q96Q45	P47710	0	0.4928452	0.9997953
P54709	P42766	1	0.117935754	0.41610762
P35408	P38919	0	0.14619613	0.49929127
Q13206	P55786	0	0.18167938	0.59468794
Q6P1R3	Q99633	0	0.61366826	0.9483181
O14958	Q9NQV6	1	0.61242604	0.94944155
O14842	Q96EC8	1	0.6939864	0.84947705
Q8IXH7	P14854	1	0.74282146	0.764151
Q9H6L2	Q9UPM9	1	0.774313	0.6990096
Q96HE7	Q12905	0	0.34803095	0.9076217
Q04837	P56556	1	0.9435687	0.21298721
O60885	Q9NWS0	0	0.30408138	0.84646356
O75409	P54253	1	0.39215323	0.95347625
Q68E01	Q01658	0	0.8031817	0.6323234
Q9Y3E2	O00746	1	0.9571324	0.16411988
Q9NR30	Q5SSJ5	1	0.84235203	0.5311803
O15446	Q15697	1	0.57869554	0.9752281
Q92583	Q9H2L4	0	0.5572556	0.98688716
Q9P2G3	Q96M94	1	0.71632767	0.81280935
Q8N653	Q14697	0	0.31279153	0.85981196
P56556	O95139	1	0.9063562	0.3394985
Q15022	Q9UHB6	1	0.4536245	0.99139726
Q9H9D4	Q9UDV6	1	0.8674446	0.45993793
O00214	P31150	1	0.6022143	0.958209
Q92791	O43615	0	0.5522585	0.9890762
Q68CQ7	P58417	0	0.6999716	0.8400454
Q9UFB7	Q9UL41	1	0.7547593	0.7403908
Q01658	Q9NWS9	0	0.557841	0.9866177
P26358	Q03403	0	0.32412905	0.8762776
P36956	Q8N0Y2	0	0.30103856	0.8416574
P48651	O75541	0	0.15343146	0.519561
O95994	P39019	0	0.5445608	0.9920573
Q9HCG8	Q9Y421	1	0.8241528	0.57969975
O94761	Q16540	1	0.44568813	0.9882009
Q9NWN3	Q13485	1	0.5868717	0.9698132
Q66K89	Q96GQ7	1	0.8712361	0.4487351
P55085	P17987	0	0.5224123	0.9979907
Q5T4S7	Q9NRM0	0	0.15388179	0.52080876
P49447	Q9NWH2	1	0.7348732	0.77933836
Q8NCK7	P62495	0	0.37486997	0.93736994
P37840	Q96DG6	1	0.4876661	0.99939144
Q16842	P24864	0	0.24470177	0.7392913
O14867	Q15800	0	0.2113388	0.6666988
O75947	Q9Y6H6	0	0.14852838	0.5058708
Q9NSC2	Q13330	1	0.80042875	0.63897026
Q9H9D4	Q96JM3	1	0.77665955	0.693838
Q12906	Q96KR1	1	0.7630706	0.72317547
O60925	Q71U36	1	0.58543116	0.97080606
Q99742	O75953	1	0.42722312	0.9788141
Q9UGQ2	Q8TDZ2	0	0.3612211	0.9229617
Q6UW68	Q96IK5	0	0.38779694	0.9496419
P39019	Q86UK7	0	0.6384196	0.92336005
Q9BX68	Q01814	0	0.4868215	0.99930525
Q86U44	Q9Y6Q9	0	0.5755408	0.97717434
Q92841	P54132	0	0.6033983	0.95723516
P38919	Q13485	1	0.33610734	0.8925567
Q99459	P46013	0	0.7639894	0.72123843
Q9UBS4	Q13217	1	0.6680039	0.8870987
Q8TED1	Q6ZSS7	1	0.6803885	0.86983997
P02724	O43156	1	0.4772539	0.99793047
Q9H2K0	Q9NUH8	0	0.5652226	0.98298407
Q8TDZ2	Q9GZQ4	0	0.60295373	0.95760214
Q9NVP1	Q96HH6	0	0.24027039	0.73016214
Q8NDV2	P08908	1	0.7303132	0.7878234
P49281	Q16236	0	0.141073	0.48468566
Q96B77	Q12905	0	0.17011087	0.5646926
P30086	O43513	0	0.27016124	0.7886965
A0AVI4	Q8TAD4	1	0.78520906	0.6746232
P01106	Q9H0R1	0	0.41172695	0.9688315
Q9BXP5	P40394	1	0.2100265	0.6636615
Q9NX05	Q9NWS0	1	0.42995453	0.9803745
Q8N490	Q7Z7M9	0	0.56076455	0.9852307
Q9H2U1	P55265	0	0.45923948	0.9933543
Q92794	Q96T23	1	0.7449552	0.75998783
Q8TAE8	Q9Y242	0	0.31564674	0.86405545
P32249	Q96P70	1	0.5437752	0.9923349
P59910	Q99750	1	0.78017414	0.6860098
O75061	Q9H1X3	0	0.2568552	0.7635224
Q8WTR4	Q9BX95	1	0.9006434	0.35793945
Q9BTX3	P62805	0	0.28719428	0.8188549
Q9NWS0	P48651	0	0.32330275	0.8751123
Q99832	Q9UL40	0	0.38519552	0.94727975
P49411	O60925	0	0.27893308	0.8045177
Q9NY93	Q6P158	1	0.7789325	0.6887866
Q2QGD7	Q96E35	1	0.86661994	0.46235928
Q9BXP5	Q96DR5	1	0.12360964	0.43332118
O95786	Q7Z5J1	1	0.41170526	0.96881616
Q96RL1	Q9C086	1	0.7313191	0.78596586
Q8IY37	Q9UHW9	0	0.095641345	0.3459763
Q8IV16	P51946	0	0.6229093	0.9395732
Q6UVY6	Q6NZ67	0	0.38765436	0.94951385
P07737	P30086	1	0.6807731	0.8692844
Q9UBK5	Q9GZU3	1	0.68348753	0.8653293
P17040	O14709	1	0.84243983	0.5309399
Q9NRG4	Q2QGD7	1	0.5129502	0.99932915
Q05639	Q969Q0	0	0.38761476	0.94947827
A2A3N6	Q9UHK6	1	0.66302115	0.8936964
Q9NPA8	Q14CW9	1	0.470356	0.99648494
O95409	O15014	0	0.82856447	0.5681816
Q96LL9	Q32P28	1	0.5216707	0.9981215
P26196	Q9H467	0	0.27776936	0.8024542
Q9ULD4	Q9UPP1	1	0.7381332	0.77317035
O15534	Q69YG0	0	0.20398588	0.6495026
P15822	Q5TCM9	0	0.45288444	0.9911205
Q9GZR7	Q9H1C4	0	0.09637969	0.34836257
P46013	Q8N5K1	0	0.23888138	0.7272683
Q5VYS8	Q96EB6	0	0.5941044	0.96457744
O15409	Q8WXI9	1	0.6683789	0.8865942
Q14CZ7	Q96EY8	1	0.90512305	0.34350124
Q969Q0	P42766	1	0.8899413	0.3917832
Q01469	P61604	1	0.6051981	0.9557335
P55085	Q96IQ9	0	0.22039196	0.6872774
Q9BY14	P18621	0	0.34422606	0.90293795
P36956	Q15648	1	0.2706615	0.78961545
Q8N680	Q7Z3K3	1	0.8082299	0.61997724
P25490	Q8TAE8	0	0.467672	0.9958196
O94761	O60884	1	0.45095602	0.9903788
